original_index,sms_text,predicted_is_otp,predicted_otp_intent,classification_status,batch_number,is_phishing_original,sender
synthetic_b09f2a2a,Your OTP for updating your Paytm account details is 7842. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_625c578b,Your OTP for updating your Paytm account details is 7842. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_75dd4c34,Your OTP for updating your PhonePe account is 7294. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_437d9a26,Your OTP for updating your Paytm account details is 7391. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_6b72c622,Your OTP for updating your Paytm account details is 5832. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_dd648d2f,Your OTP for updating your Paytm account details is 7294. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_d44b87e0,Your OTP for updating your Paytm account details is 567812. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_c5fbcf95,Your OTP for updating your PhonePe account details is 7294. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_db89423e,Your OTP for updating your Paytm account details is 7395. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_4d6f5182,Your OTP for updating your Paytm account details is 7824. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_4aa3117f,Your OTP for updating your Paytm account details is 7428. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_d69bae9a,Your OTP for updating your profile email in Myntra is 5832. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_5454efdf,Your OTP for updating your profile email in Myntra is 7429. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_07c8a5a7,Your OTP for updating profile details in Myntra is 5832. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_3f43051e,Your OTP for updating your PhonePe account profile is 7842. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_fb06bf61,Your OTP for updating your profile email in PhonePe is 7428. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_61db0101,Your OTP for updating your profile email in Myntra is 4729. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_42fe5a74,Your OTP for updating your profile email in Myntra is 7428. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_48c7e11a,Your OTP for updating your profile email in MyJio is 5832. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_624deb41,Your OTP for updating your profile email in PhonePe is 7429. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_d16f0c5a,Your OTP for updating your profile email in MyJio app is 7429. Do not share this code with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_083345d3,Your OTP for updating your profile email in Myntra is 5837. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_65045212,Your OTP for updating your profile email in Myntra is 7842. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_8e38afd9,Your OTP for updating your profile email in MyJio is 7392. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_884fe6ba,Your OTP for updating your profile email in MyJio is 4729. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_7d651cad,Your OTP for updating your profile email in Myntra is 7294. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_011326c5,Your OTP for updating profile details in Myntra is 7294. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_4cd96c2e,Your OTP for updating your profile email in MyJio is 7294. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_ae8c05c5,Your OTP for updating your profile email in MyJio is 5837. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_7ea7199f,Your OTP for updating your profile email in PhonePe is 5832. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_96e63f5f,Your OTP for updating profile details in Myntra is 7428. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_442cdc9c,Your OTP for updating your profile email in MyJio app is 742891. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_3f2fd720,Your OTP for changing your registered mobile number in Paytm is 5391. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_c958694d,Your OTP for changing your profile phone number in Paytm is 5391. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_73e1d222,Your OTP for updating your profile password in Google Pay is 8264. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_632a63a2,Your OTP for updating your profile contact number in Amazon is 6193. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
synthetic_06e9ca8f,Your OTP for updating your profile phone number in Amazon is 6185. Do not share this code.,True,APP_ACCOUNT_CHANGE_OTP,synthetic_auto,synthetic_auto,False,
