original_index,sms_text,predicted_is_otp,predicted_otp_intent,classification_status,batch_number,is_phishing_original
synthetic_FINANCIAL_LOGIN_OTP_f52bf4be,Your Zerodha trading account login OTP is 4729. Valid for 5 mins. Do not share. Bank never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_7ecfe594,Groww: 618405 is your OTP for investment platform login. Valid 10 mins. Never share OTP. Secure your portfolio.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_98b4dfd0,Upstox Demat login OTP: 837162. Valid 5 mins. Do not share with anyone. Your broker never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_b46ec650,"Angel One: 5294 is your equity trading login OTP. Valid 7 mins. OTP rahasya hai, kisi ko na batayein.",True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_ab0c6214,Kotak Securities: 730285 for NSE/BSE trading login. Valid 5 mins. Do not share OTP. Bank never asks.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_c4091427,ICICI Direct mutual fund login OTP: 8417. Valid 10 mins. Keep confidential. Never share with anyone.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_9e748329,"HDFC Securities: 926438 is your stocks portfolio login OTP. Valid 5 mins. OTP secret hai, share na karein.",True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_e8ca2162,Zerodha demat login OTP: 3852. Valid 5 mins. Do not share. Your broker never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_936bfa02,Groww investment platform OTP: 70491. Valid 10 mins. Secure your mutual funds. Never share OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_6204dfe1,Upstox: 628374 for trading account login. Valid 5 mins. Do not share OTP. Bank never asks for it.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_7e3a13d7,Angel One equity login OTP: 4936. Valid 7 mins. OTP kisi ko na dein. Apna portfolio secure rakhein.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_e7f5fbd6,Kotak Securities demat login: 852063. Valid 5 mins. Do not share OTP. Your broker never asks.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_d3f2ee95,ICICI Direct stocks login OTP: 7194. Valid 10 mins. Keep confidential. Never share with anyone.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_ec4d55d1,"HDFC Securities: 540829 for NSE/BSE trading login. Valid 5 mins. OTP rahasya hai, kisi ko na batayein.",True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_81a8bfd7,Zerodha mutual fund login OTP: 93715. Valid 10 mins. Do not share. Bank never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_e57c5123,Your Zerodha trading account login OTP is 7294. Valid for 5 mins. Do not share OTP. Bank never asks for it.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_27318d8a,Groww OTP 482157 for investment portfolio login. Valid 10 mins. Never share OTP. Secure your stocks & mutual funds.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_9fd05f8c,Upstox trading login OTP: 836291. Valid 5 mins. Do not share with anyone. Your broker never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_8e715a3e,"Angel One demat account login OTP is 5728. Valid 3 mins. OTP secret hai, kisi ko mat batayein. Bank kabhi nahi mangta.",True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_8e5ec350,Kotak Securities equity trading OTP: 619384. Valid 7 mins. Do not share. Secure your NSE/BSE investments.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_7cb2e16b,ICICI Direct portfolio login OTP 8402. Valid 5 mins. Never share OTP. Bank never asks for it. Trade safe.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_003fc085,HDFC Securities demat login OTP: 29573. Valid 4 mins. Do not share. Your stocks & mutual funds security first.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_235e1431,Zerodha Kite OTP 718406 for trading login. Valid 6 mins. OTP kisi ko na dein. Broker kabhi nahi mangta.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_d5152887,Groww mutual fund login OTP: 3628. Valid 5 mins. Do not share OTP. Secure your investment portfolio.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_678164d5,Upstox demat account OTP 914753 for login. Valid 8 mins. Never share OTP. Bank never asks for secret codes.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_f444c315,Angel One stocks trading OTP: 6371. Valid 4 mins. Do not share. Your equity investments secured with OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_5b5fa8e5,"Kotak Securities investment login OTP 482096. Valid 5 mins. OTP rahasya hai, kisi ko na batayein. NSE/BSE trading.",True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_a65c9ddd,ICICI Direct mutual fund login OTP: 8254. Valid 6 mins. Do not share OTP. Bank never asks for verification codes.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_61e8a772,HDFC Securities broker login OTP 739512. Valid 7 mins. Never share OTP. Secure your demat & trading account.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_b48ea9dd,Zerodha Coin OTP 5842 for mutual fund login. Valid 5 mins. Do not share. Bank never asks for OTP. Invest safe.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_dfd4244d,Your OTP for Zerodha trading login is 7294. Valid for 5 mins. Do not share. Bank never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_b950e4ae,Groww OTP: 618325 for portfolio login. Valid 10 mins. Never share OTP. Secure your investments.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_e0edc4dc,Upstox demat login OTP: 4827. Expires in 5 mins. Do not disclose. Bank never asks for OTP.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_71e573c1,Angel One OTP 930571 for equity trading login. Valid 5 mins. Your OTP is confidential - never share.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
synthetic_FINANCIAL_LOGIN_OTP_a61d88bf,Kotak Securities: Your login OTP for stock trading is 8462. Valid 5 mins. Do not share with anyone.,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic_deepseek,False
