id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
synthetic_APP_ACCOUNT_CHANGE_OTP_1,VM-FBPOST,Use OTP 102405 to switch your Facebook account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_2,VM-INSTAG,"To update your Instagram account details, enter OTP 248446. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_3,VM-TELEGR,Use OTP 542613 to switch your Telegram account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_4,VM-WHATS,WhatsApp code 983937 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_5,VM-GOOGLE,Use 920064 to change your Google phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_6,VM-WHATS,"To update your WhatsApp account details, enter OTP 332456. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_7,VM-FBPOST,Use OTP 326459 to switch your Facebook account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_8,VM-GOOGLE,"To update your Google account details, enter OTP 675422. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_9,VM-WHATS,WhatsApp code 642636 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_10,VM-FBPOST,Use 118410 to change your Facebook phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_11,VM-INSTAG,Instagram code 140319 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_12,VM-TWITTR,Use OTP 259709 to switch your Twitter account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_13,VM-GOOGLE,Your Google verification code is 237172 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_14,VM-GOOGLE,Your Google verification code is 336355 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_15,VM-TWITTR,Twitter code 453964 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_16,VM-INSTAG,"To update your Instagram account details, enter OTP 496014. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_17,VM-TWITTR,Your Twitter verification code is 988834 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_18,VM-GOOGLE,"To update your Google account details, enter OTP 457317. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_19,VM-FBPOST,Facebook code 354913 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_20,VM-INSTAG,"To update your Instagram account details, enter OTP 963874. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_21,VM-TELEGR,"To update your Telegram account details, enter OTP 265054. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_22,VM-FBPOST,Facebook code 714735 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_23,VM-FBPOST,Use OTP 217768 to switch your Facebook account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_24,VM-TWITTR,Twitter code 770967 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_25,VM-FBPOST,Your Facebook verification code is 620253 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_26,VM-WHATS,Use OTP 750012 to switch your WhatsApp account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_27,VM-WHATS,"To update your WhatsApp account details, enter OTP 864329. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_28,VM-TWITTR,Use 382985 to change your Twitter phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_29,VM-INSTAG,Use OTP 426047 to switch your Instagram account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_30,VM-WHATS,Use 861509 to change your WhatsApp phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_31,VM-TELEGR,"To update your Telegram account details, enter OTP 846511. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_32,VM-GOOGLE,Your Google verification code is 937566 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_33,VM-TELEGR,Use OTP 555875 to switch your Telegram account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_34,VM-WHATS,"To update your WhatsApp account details, enter OTP 353355. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_35,VM-TELEGR,Use 681831 to change your Telegram phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_36,VM-WHATS,WhatsApp code 999515 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
