id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
SMS,"INR 8,459.96 spent using ICICI Bank Card XX6163 on 11-May-25 on Swiggy. Avl Limit: INR 7,99,574.55. If not you, call 1800 2662/SMS BLOCK 7007 to 8054881654.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"Rs 53,684.68 spent on ICICI Bank Card XX2695 on 12-May-25 at MAKEMYTRIP I PV. Avl Lmt: Rs 39,55,897.54. To dispute, call 18002662/SMS BLOCK 7003 to 0997926125. To convert this txn to EMI give a missed call on 8115350476. Know more about EMI conversion at icici.co/DUvfZI0QFMW",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 061.50 spent using ICICI Bank Card XX2519 on 13-May-25 on ZOMATO. Avl Limit: INR 3,04,240.16. If not you, call 1800 2662/SMS BLOCK 7007 to 1962971548.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 4,792.92 spent using ICICI Bank Card XX9891 on 14-May-25 on Swiggy. Avl Limit: INR 0,48,699.39. If not you, call 1800 2662/SMS BLOCK 7007 to 9252714275.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 2,817.39 spent using ICICI Bank Card XX5375 on 14-May-25 on IND*Amazon.in -. Avl Limit: INR 0,11,938.96. If not you, call 1800 2662/SMS BLOCK 7007 to 6725996202.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 078.89 spent using ICICI Bank Card XX3066 on 15-May-25 on Swiggy. Avl Limit: INR 0,72,959.77. If not you, call 1800 2662/SMS BLOCK 7007 to 0709122560.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 682.90 spent using ICICI Bank Card XX9991 on 17-May-25 on SWIGGY LIMITED. Avl Limit: INR 6,83,150.37. If not you, call 1800 2662/SMS BLOCK 7007 to 6761564043.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 3,802.74 spent using ICICI Bank Card XX4428 on 21-May-25 on Swiggy. Avl Limit: INR 2,26,944.92. If not you, call 1800 2662/SMS BLOCK 7007 to 8639101367.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,SGD 176.00 txn declined at merchant outlet as International Txns are disabled on ICICI Bank Credit Card XX9329. Enable at icici.onelink.me/zT47/ccpaMccm,SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 578.18 spent using ICICI Bank Card XX2514 on 27-May-25 on IND*Amazon Rech. Avl Limit: INR 3,07,526.56. If not you, call 1800 2662/SMS BLOCK 7007 to 2347232330.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 9,708.41 spent using ICICI Bank Card XX3222 on 27-May-25 on WWWBIGBASKETCOM. Avl Limit: INR 7,57,236.48. If not you, call 1800 2662/SMS BLOCK 7007 to 3078544079.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 951.18 spent using ICICI Bank Card XX2081 on 27-May-25 on IND*Amazon Rech. Avl Limit: INR 2,43,750.50. If not you, call 1800 2662/SMS BLOCK 7007 to 8101725248.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 098.82 spent using ICICI Bank Card XX5271 on 27-May-25 on SWIGGY LIMITED. Avl Limit: INR 7,68,548.15. If not you, call 1800 2662/SMS BLOCK 7007 to 8861456341.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 4,968.66 spent using ICICI Bank Card XX4151 on 28-May-25 on Raz*Delightful . Avl Limit: INR 1,90,771.62. If not you, call 1800 2662/SMS BLOCK 7007 to 4637689916.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 339.72 spent using ICICI Bank Card XX2511 on 29-May-25 on SWIGGY LIMITED. Avl Limit: INR 3,65,626.78. If not you, call 1800 2662/SMS BLOCK 7007 to 3219497319.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 8,423.93 spent using ICICI Bank Card XX1699 on 29-May-25 on IND*Amazon. Avl Limit: INR 2,18,989.06. If not you, call 1800 2662/SMS BLOCK 7007 to 2811146628.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"Rs 8,853.81 spent on ICICI Bank Card XX9611 on 30-May-25 at UTILITY INC. Avl Lmt: Rs 5,53,949.74. To dispute, call 18002662/SMS BLOCK 7007 to 1734505522. To convert this txn to EMI give a missed call on 3389279920. Know more about EMI conversion at icici.co/DUvfZI0QFMW",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 277.24 spent using ICICI Bank Card XX8546 on 30-May-25 on Swiggy Limited. Avl Limit: INR 0,51,732.83. If not you, call 1800 2662/SMS BLOCK 7007 to 8559803033.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 4,896.17 spent using ICICI Bank Card XX9598 on 31-May-25 on BLINK COMMERCE . Avl Limit: INR 8,54,872.45. If not you, call 1800 2662/SMS BLOCK 7007 to 0322965704.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"ICICI Bank Acc XX102 debited Rs. 6,97,310.23 on 31-May-25 InfoBIL*001017792.Avl Bal Rs. 91,605.15.To dispute call 18002662 or SMS BLOCK 696 to 6041527015",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 052.90 spent using ICICI Bank Card XX6307 on 02-Jun-25 on AMAZON INDIA CY. Avl Limit: INR 2,13,368.69. If not you, call 1800 2662/SMS BLOCK 7007 to 6790682818.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 5,734.71 spent using ICICI Bank Card XX9949 on 02-Jun-25 on K R J FUEL STAT. Avl Limit: INR 8,89,545.19. If not you, call 1800 2662/SMS BLOCK 7007 to 1760150677.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 044.98 spent using ICICI Bank Card XX8607 on 03-Jun-25 on TRAVEL FOOD SER. Avl Limit: INR 7,21,720.24. If not you, call 1800 2662/SMS BLOCK 7007 to 5243470781.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 0,930.24 spent using ICICI Bank Card XX6135 on 03-Jun-25 on GOOGLE CLOUD CY. Avl Limit: INR 2,98,996.72. If not you, call 1800 2662/SMS BLOCK 7007 to 4293873543.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"USD 20.00 spent using ICICI Bank Card XX1611 on 13-Jun-25 on CURSOR, AI POWE. Avl Limit: INR 6,28,828.66. If not you, call 1800 2662/SMS BLOCK 7007 to 7008019496.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 001.55 spent using ICICI Bank Card XX7836 on 17-Jun-25 on RAZ*Meatigo by . Avl Limit: INR 8,60,720.83. If not you, call 1800 2662/SMS BLOCK 7007 to 2718650686.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 2,103.55 spent using ICICI Bank Card XX5258 on 17-Jun-25 on INSTAMART. Avl Limit: INR 4,44,287.86. If not you, call 1800 2662/SMS BLOCK 7007 to 0301000271.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 408.98 spent using ICICI Bank Card XX9661 on 17-Jun-25 on SWIGGY LIMITED. Avl Limit: INR 3,85,507.88. If not you, call 1800 2662/SMS BLOCK 7007 to 0118775257.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 694.63 spent using ICICI Bank Card XX8159 on 18-Jun-25 on IND*Amazon.in -. Avl Limit: INR 3,42,796.83. If not you, call 1800 2662/SMS BLOCK 7007 to 8334558767.",SMS,,en,NO,NOT_OTP,UNKNOWN
SMS,"INR 044.84 spent using ICICI Bank Card XX4623 on 18-Jun-25 on Swiggy Limited. Avl Limit: INR 4,46,314.23. If not you, call 1800 2662/SMS BLOCK 7007 to 2253966148.",SMS,,en,NO,NOT_OTP,UNKNOWN
