original_index,sms_text,predicted_is_otp,predicted_otp_intent,is_phishing
45539,apply available camera claim customer ends free loyalty offer opt orange phone,False,NOT_OTP,True
45967,did heard just like luv make net night time xx,False,NOT_OTP,True
50503,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন +8801713344556,False,NOT_OTP,True
51178,हे ! आज रूम में मैगी बनाएँ हैं तुम खाओगे तो बोलो तुम्हारे लिए भी बनादे?,False,NOT_OTP,False
47081,08712460324 10p chat cheap cheaper gay hot january min national rate sale stop texts,False,NOT_OTP,True
46518,000 02 03 2nd 900 attempt awaiting awarded bonus caller claim collection contact mobile prize urgent yesterday,False,NOT_OTP,True
42241,escape going minutes theatre watch,False,NOT_OTP,False
48073,100 80062 ans correct draw entered gift receipt registered subscriber txt voucher yr,False,NOT_OTP,True
41253,okie,False,NOT_OTP,False
48434,"প্রিয় শিক্ষার্থী! Coronavirus এর কারণে তোমাদের উপবৃত্তির ৪,২০০ টাকা দেওয়া হচ্ছে। টাকা গ্রহনের জন্য নিম্নোক্ত শিক্ষাবোর্ডের নম্বরে যোগাযোগ করুন।
মোবাঃ 01813849152,
যোগাযোগের সময় সকাল 10 টা রাত 7:30 টা পযন্ত বি:দ্র: একটা বিকাশ নাম্বার নিয়ে ফোন দিতে হবে",False,NOT_OTP,True
47290,21 25 440 62468 ac friend frnd inviting reply send sms stop www yes,False,NOT_OTP,True
51273,"Cialis, Valium, Viagra, Xanax – बेहद कम कीमत पर! बिना प्रिस्क्रिप्शन के! आज ही छूट पाने के लिए क्लिक करें!",False,NOT_OTP,True
51467,"अभी अपडेट करें - क्रिसमस ऑफर! नवीनतम मोटोरोला, सोनी एरिक्सन और नोकिया और मुफ़्त इलेक्ट्रॉनिक्स! ऑरेंज पर डबल मिनट और 1000 टेक्स्ट। MobileUpd8 पर 08000839402 पर कॉल करें या कॉल करें2optout/F4Q=",False,NOT_OTP,True
46186,content download goto internet menu mobile msg order receive service tv ur wap way,False,NOT_OTP,True
53502,"छोटे-छोटे लक्ष्य बनाएं और उन्हें पूरा करें, यह आत्मविश्वास बढ़ाएगा।",False,NOT_OTP,False
45029,150p 2lands 86688 attempt chat contact dear final invited ldn msgrcvdhg row suite342 txt ve w1j6hl xchat,False,NOT_OTP,True
48027,50p cost currently greet meet std text tour win,False,NOT_OTP,True
40899,2nite b4 calls chat half luv sexy term work,False,NOT_OTP,True
51132,अभी रिचार्ज करें और लाभ उठाएं: www.jio.com/r/zCOHBrdGS,False,NOT_OTP,True
45836,100 80062 ans answer birthday correct dear draw entered gift receipt subscriber txt ur voucher,False,NOT_OTP,True
50723,ब्लैकबेरी का नया लॉन्च ब्लैकबेरी की शहर में चर्चा का नया विषय! जानना चाहते हैं कि गैजेट की दुनिया में क्या हलचल है? ^हां/नहीं एयरसेल पर ब्लीक पर आपके सभी उत्तर निःशुल्क हैं।,False,NOT_OTP,True
39439,age good join just life living mobile partner perfect sms thought txt,False,NOT_OTP,True
44359,contacted dating know land landline line mobile service,False,NOT_OTP,True
19889,PNR 6784789478 ticket cancelled. Amt 500.28 will be refunded within 3-4 days. Please check your account/instrument from which this tkt was booked.-IRCTC,False,NOT_OTP,False
48070,02 1000 18 200 500 award claim free guaranteed stop ur urgent won,False,NOT_OTP,True
39165,change jst tat,False,NOT_OTP,False
47705,08000930705 750 anytime camcorder contact half handset line mins network offer phone price rental reply text tried unlimited video,False,NOT_OTP,True
46284,150p 16 20 87077 dont england eve heart joined logo love lover miss national news pobox36504w45wq send team try txt ur yahoo,False,NOT_OTP,True
47792,04 10 2003 24 800 account code expires identifier points private redeemed shows statement,False,NOT_OTP,True
44212,juz lor,False,NOT_OTP,False
47146,contacted dating know land line service,False,NOT_OTP,True
46946,new,False,NOT_OTP,True
50212,"অভিনন্দন! আপনি 50,000 টাকা নগদ পুরস্কার জিতেছেন। আপনার পুরস্কার দাবি করতে 018XXXXXXXXX নম্বরে কল করুন।",False,NOT_OTP,True
44397,100 80062 ans correct draw entered gift no1 receipt registered subscriber ur voucher whats,False,NOT_OTP,True
44324,2nite calls chat cum did heard hope just like luv make net night time wanna xx,False,NOT_OTP,True
52326,"👉VIP समूह में प्रवेश करने के लिए क्लिक करें 30 सेकंड का प्लान प्राप्त करें

https://t.me/+Rlh9gBDpYc05NDEy

👉पंजीकरण लिंक 

😬 https://usdtbet6.net/#/register?invिटेशनCode=864652392920

👑128 🔴🔴🔴 🌟🌟बड़ा 🌟🌟",False,NOT_OTP,True
48150,awarded bonus customer following mob pleased prize review valued,False,NOT_OTP,True
44466,08000839402 1000 bluetooth call2optout double free latest linerental mins mobileupd8 motorola nokia orange price sonyericsson tariffs txts,False,NOT_OTP,True
42151,00 300 bank buy com issues pick strong,False,NOT_OTP,True
50277,আপনার বিদ্যুৎ বিল পরিশোধ না হওয়ায় সংযোগ কেটে দেয়া হবে। কল করুন +8801912233445,False,NOT_OTP,True
49547,https://t.me/darazbotpay_bot?start=r05257773745 একটা রেফার করলে 200 টাকা 25 টা রেফার করলেই টাকা তুলতে পারবেন তো আর দেরি না করে এখনি টেলিগ্রাম  এ গিয়ে start কইরা দেন সবাই😊🫶,False,NOT_OTP,True
43745,aha talking,False,NOT_OTP,False
45161,08712460324 10p chat cheap cheaper gay good hot min national rate sale stop texts,False,NOT_OTP,True
45350,awaiting com day fantastic http important information log lucky orange surprise today ur urawinner user www,False,NOT_OTP,True
44836,08712460324 10p 60p calling don fun girls just min miss rate send stop texts weekend,False,NOT_OTP,True
