keyword,avg_monthly_searches,competition,competition_index,low_top_of_page_bid_micros,high_top_of_page_bid_micros,classification,source_file
telegram,3350000,LOW,0,48145274,142880071,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram web,3350000,LOW,0,58529549,169924499,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
messenger,301000,LOW,4,825455,4591359,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
telegram download,246000,LOW,3,1099694,2247157,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp messenger,74000,LOW,0,482396,3213838,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram app,74000,LOW,1,1049189,4546613,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp status,74000,LOW,1,944024,2732480,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
google messages,74000,LOW,3,1034368,7635557,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
messages by google,74000,LOW,3,1034368,7635557,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
messages for web,60500,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
google messages web,60500,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
facebook messenger,40500,LOW,1,945252,6367354,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram desktop,40500,LOW,1,1111023,188804999,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
fb messenger,40500,LOW,1,945252,6367354,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
messenger download,40500,LOW,13,922595,3776099,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
messenger app,27100,LOW,12,944024,4251133,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
chat app,27100,LOW,23,4963117,27376724,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
messages app,27100,LOW,24,1288971,6652921,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp chat,22200,LOW,0,944024,27376724,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram group,18100,LOW,0,18711047,52279632,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram for pc,18100,LOW,2,1108474,3251222,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram app download,18100,LOW,3,944024,2252443,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
https messages google com web,14800,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
way2sms,14800,LOW,6,11363228,56547947,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram x,12100,LOW,0,603609,2279631,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
i keep getting spam texts,12100,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
telegram download for pc,12100,LOW,6,1848684,3275672,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
rcs chat,12100,LOW,7,11967593,79701859,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
video chat app,12100,MEDIUM,37,5664149,45313199,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free chat apps,12100,MEDIUM,47,2832074,15116955,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp bulk message sender,12100,MEDIUM,60,20045804,71859938,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
imessage,9900,LOW,0,1708496,99174923,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp messenger download,9900,LOW,1,600305,2203920,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free video chat app,9900,MEDIUM,44,2832074,18880499,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
fake sms,8100,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
fake sms message,8100,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
google chat app,8100,LOW,2,11385035,72730329,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
zangi app,8100,LOW,4,1519974,13937490,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
samsung messages app,8100,LOW,5,1400838,9163461,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
live video chat app,8100,LOW,8,3739849,38705024,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
google messages app,8100,LOW,10,1248945,7780937,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
messages google com web,6600,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
anonymous message,6600,LOW,0,6899878,29081728,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
spam messages,6600,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
scam text messages,6600,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
text scams,6600,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
instagram scam messages,6600,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
fake message,6600,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
whatsapp phishing messages,6600,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
free sms,6600,LOW,1,1164171,23392656,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
online chatting app,6600,LOW,25,7552199,37074882,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
bulk whatsapp message,6600,MEDIUM,65,17922975,79524571,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram messenger,5400,LOW,0,1766081,19470610,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
scam whatsapp messages,5400,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
whatsapp spam,5400,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
messenger lite,5400,LOW,2,681586,3776099,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free sms online,5400,LOW,2,1888049,26159499,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
send free sms online,5400,LOW,2,1133868,30408083,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp sender,5400,LOW,10,15557059,64166700,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
