original_index,sms_text,predicted_is_otp,predicted_otp_intent,classification_status,batch_number,is_phishing
12115,"You have successfully modified your subscription. 

Please note the subscription prices are subject to change as per market rates. 
Don't forget to hang a bag at the door to receive your deliveries.

Thank you, 
Team bbdaily",False,NOT_OTP,auto_not_otp,18,False
57937,Your registration is almost complete. Enter this code to begin riding: 2646,True,DELIVERY_OR_SERVICE_OTP,success,10,True
23372,"INR7.71 debited on Credit Card XX2827 on 27-Oct-19.Info:GOOGLE CLOUD.Avbl Lmt:INR85,990.45.Call 18002662 for dispute or SMS BLOCK 2004 to 8473147485",False,NOT_OTP,auto_not_otp,21,True
36521,Get your copy of policy related documents in just a few minutes using the CHI customer app. To download the mobile app click https://carehi.in//t/R5NRVr Team CHI,False,NOT_OTP,auto_not_otp,47,True
56623,Still I'm getting very busy to your mobile .....,False,NOT_OTP,auto_not_otp,7,False
57795,Biggest challenge for all CAT17 aspirants is now ON. Have you registered for IMS CAT Challenge? Registration closing on 16 Nov. Click goo.gl/ef6J6C to register!,False,NOT_OTP,auto_not_otp,9,True
9606,"[Waitlist Confirmed] Session: HRX Workout Time Slot: 04-Aug-2024, 6:00AM Center: Cult Basavanagudi Booking ID: BSGDIKYZ6FO0 Be sure to arrive 5 mins early to mark your attendance - Team cult.fit",False,NOT_OTP,auto_not_otp,13,False
36131,AMAZONUPI ppXHmhMq(DmVu9(C@3_os|](LIms?PM3txS(P 07065888830,False,NOT_OTP,auto_not_otp,46,True
55855,"Your plan for Jio no.3880385084 will expire on 17-08-2017. To avoid STOPPAGE of services, recharge IMMEDIATELY with Rs.313 plan today and enjoy 1GB high speed data/day and unlimited calling benefits for 3 months. Click http://jio.com/r/DYpXLgSC to recharge.",False,NOT_OTP,auto_not_otp,5,True
47089,08000839402 1000 available bluetooth call2optout double free latest mins mobileupd8 motorola nokia orange phones sony sonyericsson tariffs txts,False,NOT_OTP,auto_not_otp,68,True
48841,কেমন লাগছে তোমাকে? আমি খুব ভালো আছি।,False,NOT_OTP,auto_not_otp,71,False
33193,"Supr Delivery OTP: 448838

Your bulk order will be delivered HK 47-DYR-1409, between 7:00 AM and 11:00 AM by our Supr Delivery Agent. For the secure delivery of your order, an OTP [One Time Password] has been created for you. Please share this OTP with the delivery agent after you have received and verified all the items in your order.",True,DELIVERY_OR_SERVICE_OTP,success,40,True
56872,😕😕😕,False,NOT_OTP,auto_not_otp,7,False
3169,224850 is the OTP for INR 132.55 transaction on Swiggy Limi using ICICI Bank Credit Card XX0708. OTPs are SECRET. DO NOT disclose,True,BANK_OR_CARD_TXN_OTP,success,3,False
15469,ICICI Bank Acct XXX751 debited for INR 553.50 on 26-Oct-21 & SIMPLI NAMDHARIS credited.UPI:129940535199.Call 18002662 for dispute or SMS BLOCK 696 to 8752848782.,False,NOT_OTP,auto_not_otp,5,False
24241,"Dear Customer, INR 372.82 is debited on ICICI Bank Credit Card XX7451 on 19-Jun-21. Info: AMAZON STANDING. Available Limit: INR 15,219.57. Call on 18002662 for dispute or SMS BLOCK 7007 to 8183159102.",False,NOT_OTP,auto_not_otp,22,False
