message,label
एक डॉलर का ख़रीदारी ख़रीदारी के लिए अपने घर जाएँ समय। मैं हिल भी नहीं सकता। मुझे दर्द हो रहा है।,ham
"हर छोटी कोशिश का बड़ा परिणाम होता है, उसे नजरअंदाज न करें।",ham
क्या तुमने मेरे पिछले संदेश का जवाब दिया?,ham
प्रति जोड़ा *मनाली 3एन/4डी@14 999 *शिमला 2एन3डी@12 700 *नैनीताल 2एन/3डी@14 000 ब्रकफस्ट+डिनर+वोल्वो ईमेल पर विवरण प्राप्त करें अभी एसएमएस इनबॉक्स ईमेल आईडी 56161 पर भेजें,spam
बिबाह में समस्या?❤️ प्यार को पाने का सही तरीका जानिए।🌟 100% गारंटी के साथ समस्या का समाधान।🔮 ज्योतिष विशेषज्ञ से आज ही बात करें।📞 3633978446,spam
आज मेरा आत्म-विश्वास आसमान छू रहा है - मैं कोई भी काम कर सकता हूँ।,ham
आपका पसंदीदा लेखक कौन है? ^आपका पसंदीदा लेखक हमें आपको बेहतर तरीके से जानने में मदद करने के लिए 24 घंटे के भीतर उत्तर दें।,spam
"नेल टॉक स्वस्थ मजबूत और चमकदार नाखूनों का रहस्य जानना चाहते हैं? ^हाँ/नहीं, नाखून देखभाल संबंधी सुझाव पाने के लिए 24 घंटे के भीतर उत्तर दें।",spam
क्या तुमने यह नई फिल्म देखी है?,ham
"मैंने आपका संदेश पढ़ लिया है, थोड़ी देर में प्रतिक्रिया दूंगा।",ham
पहले 3 दिनों में 60% से अधिक इकाइयाँ बिकीं!! यूनिटेक 70 ग्राम @ 5250 पीएसएफ में 2/3 बीएचके की पेशकश करता है!! 1.5 साल की ब्याज मुक्त योजना। छूट का लाभ उठाने के लिए अग्नि 9212255555 पर कॉल करें,spam
"नादानी ही सही जिक्र किया करो , झुट ही सही मुस्कुराया करो",ham
"कुछ ही दिन बाकी हैं, IBS हैदराबाद जो AACSB मान्यता प्राप्त है और NIRF रैंक 39 पर है। IBSAT 2024 टेस्ट की तारीख 28 और 29 दिसंबर को है। उच्चतम प्लेसमेंट 21.0 एलपीए, अभी आवेदन करें: https://vm.ltd/IBSMBA/hU4K6A",spam
यदि गांधीजी ने कभी बीडीएस करने के बारे में सोचा होता तो उन्होंने निश्चित रूप से अपने हाथों से एक और गुप्त कुंजी जोड़ दी होती..! ,ham
कृपया मुझे बताएं कि क्या मैं किसी और चीज़ में सहायता कर सकता हूँ।,ham
मैंने सोचा कि चूँकि हम एक सप्ताह पहले मिले थे और मैंने तुम्हें डाँटा था इसलिए तुम क्रोधित हो गए। यदि आप नहीं हैं तो यह ठीक है।,ham
बस यह जानने के लिए संपर्क कर रहा हूँ कि आप कैसे हैं।,ham
जब मैंने पूरी चीज़ के सार की घोषणा की तो मैं जीटीडीसी पर विश्वास नहीं कर सका। ईश्वर!,ham
"मैं कैफे में हूँ, आपका इंतजार कर रहा हूँ।",ham
आपकी एनिवर्सरी पर ढेर सारी शुभकामनाएँ!,ham
88 रुपये के एसएमएस पैक के रिचार्ज पर पूरे पाएं 21000 लोकल और नेशनल एसएमएस (अधिकतम 700/दिन)। वैधता 30 दिन.,spam
सफलता पाने के लिए खुद को हर समय साबित करना जरूरी है।,ham
अधिक जानकारी चाहिए तो मुझे जरूर बताएं।,ham
FREE 2GB डेटा अलर्ट! अभी Airtel Thanks App इंस्टॉल करें i.airtel.in/2gb_slgr पर ‌‌‌‌to claim। ऑफर केवल पहली बार इंस्टॉल करने वालों के लिए मान्य है।,spam
अब रिचार्ज करें: www.jio.com/r/QnarfOzJh,spam
आपके PF अकाउंट में समस्या है। सुधार करें: https://pfupdate.in/xKL98N7M -EPFSupport,spam
इस विषय में आपके सहयोग के लिए धन्यवाद।,ham
"क्या तनाव से मुक्ति पाना चाहते हैं?
भारत के 40 लाख लोग अब हमारी नयी ‘शांति पिल्स’ पर भरोसा करते हैं!
प्राकृतिक अवयवों से बनी यह दवा आपका तनाव और चिंता कम करने में मदद करती है।
अभी पाएं, केवल ₹499 में, और जीवन का आनंद लें।
यदि आप आगे के ईमेल नहीं चाहते, तो यहाँ क्लिक करें: [लिंक]",spam
तुम्हारी मदद के लिए बहुत-बहुत धन्यवाद!,ham
शुभ प्रभात! आपका दिन सुखद और शानदार हो।,ham
"क्षमा करें, मेरे रूमेट्स को बहुत समय लग गया, क्या यह ठीक रहेगा अगर मैं अब तक आ जाऊँ?",ham
क्या आप ट्यूब ला बीजी कास डाउनलोड करायच हैं ते,ham
"बेहतर स्वास्थ्य चाहिए? 🎉 बिना डॉक्टर की पर्ची के दवाएँ पाएं - इरेक्शन ट्रीटमेंट, वजन घटाने की दवाइयाँ और बहुत कुछ। ऑर्डर करें: [लिंक पर क्लिक करें] 100% मनी बैक गारंटी!",spam
