original_index,sms_text,is_phishing_original,is_phishing_llama_bool,is_phishing_llama,raw_response
34720,Payment of Rs.304.70(Card Rs.272.59 + Amazon Pay balance Rs.9.47) for Txn ID P04-3274878-7925569 on BOOKMYSHOW is successful. Updated Amazon Pay balance: Rs.64.82,False,False,False,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
49785,আপনার নম্বরটি একটি বিশেষ অফারে নির্বাচিত হয়েছে! পুরস্কার পেতে কল করুন +8801716677889,True,True,True,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
26324,"On behalf of TRAI,Vi invites u to the Customer Outreach Programme on 14-Jul-21 at 10.00AM on Airmeet.Click for registration https://www.airmeet.com/e/2b09b670-def6-11eb-ac21-8bfd60559b6d",True,True,True,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
15301,"Dear Customer, INR 257.29 is debited on ICICI Bank Credit Card XX5295 on 03-May-21. Info: Amazon. Available Limit: INR 43,837.81. Call on 18002662 for dispute or SMS BLOCK 7007 to 6058954830.",False,True,True,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
27353,"Welcome to Vi AP and Telangana ! Continue enjoying your Call, Data & SMS benefits at NO EXTRA COST, all within your existing plan. Click https://bit.ly/Vi_App1 to check your plan benefits. Do enable Data Roaming on your phone.",True,False,False,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
7749,889383 is OTP for txn of INR 914.77 at SWIGGY LIMI on ICICI Bank Credit Card XX1326. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,False,True,True,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
17976,"Dear Customer, INR 9,772.60 is debited on ICICI Bank Credit Card XX0815 on 01-Oct-21. Info: IOCL MAHASHAKTI. Available Limit: INR 94,792.35. Call on 18002662 for dispute or SMS BLOCK 7007 to 0562032122.",False,True,True,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
42594,afternoon asked come got landline number,False,False,False,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
52120,"यदि लोग आपकी आलोचना करने लगें और आपको ठेस पहुँचाने लगें, आप पर चिल्लाने लगें तो परेशान न हों! क्योंकि किसी भी खेल में दर्शक शोर मचाते हैं, खिलाड़ी नहीं। तो खेलें..अच्छा संदेश।",False,False,False,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
64974,No,False,False,False,"[
  {""id"": ""34720"", ""is_phishing"": false},
  {""id"": ""49785"", ""is_phishing"": true},
  {""id"": ""26324"", ""is_phishing"": true},
  {""id"": ""15301"", ""is_phishing"": true},
  {""id"": ""27353"", ""is_phishing"": false},
  {""id"": ""7749"", ""is_phishing"": true},
  {""id"": ""17976"", ""is_phishing"": true},
  {""id"": ""42594"", ""is_phishing"": false},
  {""id"": ""52120"", ""is_phishing"": false},
  {""id"": ""64974"", ""is_phishing"": false}
]"
