id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
Hindi_row_0,एक डॉलर का ख़रीदारी ख़रीदारी के लिए अपने घर जाएँ समय। मैं हिल भी नहीं सकता। मुझे दर्द हो रहा है।,एक डॉलर का ख़रीदारी ख़रीदारी के लिए अपने घर जाएँ समय। मैं हिल भी नहीं सकता। मुझे दर्द हो रहा है।,,hi,,,
Hindi_row_1,"हर छोटी कोशिश का बड़ा परिणाम होता है, उसे नजरअंदाज न करें।","हर छोटी कोशिश का बड़ा परिणाम होता है, उसे नजरअंदाज न करें।",,hi,,,
Hindi_row_2,क्या तुमने मेरे पिछले संदेश का जवाब दिया?,क्या तुमने मेरे पिछले संदेश का जवाब दिया?,,hi,,,
Hindi_row_3,प्रति जोड़ा *मनाली 3एन/4डी@14 999 *शिमला 2एन3डी@12 700 *नैनीताल 2एन/3डी@14 000 ब्रकफस्ट+डिनर+वोल्वो ईमेल पर विवरण प्राप्त करें अभी एसएमएस इनबॉक्स ईमेल आईडी 56161 पर भेजें,प्रति जोड़ा *मनाली 3एन/4डी@14 999 *शिमला 2एन3डी@12 700 *नैनीताल 2एन/3डी@14 000 ब्रकफस्ट+डिनर+वोल्वो ईमेल पर विवरण प्राप्त करें अभी एसएमएस इनबॉक्स ईमेल आईडी 56161 पर भेजें,,hi,,,
Hindi_row_4,बिबाह में समस्या?❤️ प्यार को पाने का सही तरीका जानिए।🌟 100% गारंटी के साथ समस्या का समाधान।🔮 ज्योतिष विशेषज्ञ से आज ही बात करें।📞 7719320981,बिबाह में समस्या?❤️ प्यार को पाने का सही तरीका जानिए।🌟 100% गारंटी के साथ समस्या का समाधान।🔮 ज्योतिष विशेषज्ञ से आज ही बात करें।📞 6878078043,,hi,,,
Hindi_row_5,आज मेरा आत्म-विश्वास आसमान छू रहा है - मैं कोई भी काम कर सकता हूँ।,आज मेरा आत्म-विश्वास आसमान छू रहा है - मैं कोई भी काम कर सकता हूँ।,,hi,,,
Hindi_row_6,आपका पसंदीदा लेखक कौन है? ^आपका पसंदीदा लेखक हमें आपको बेहतर तरीके से जानने में मदद करने के लिए 24 घंटे के भीतर उत्तर दें।,आपका पसंदीदा लेखक कौन है? ^आपका पसंदीदा लेखक हमें आपको बेहतर तरीके से जानने में मदद करने के लिए 24 घंटे के भीतर उत्तर दें।,,hi,,,
Hindi_row_7,"नेल टॉक स्वस्थ मजबूत और चमकदार नाखूनों का रहस्य जानना चाहते हैं? ^हाँ/नहीं, नाखून देखभाल संबंधी सुझाव पाने के लिए 24 घंटे के भीतर उत्तर दें।","नेल टॉक स्वस्थ मजबूत और चमकदार नाखूनों का रहस्य जानना चाहते हैं? ^हाँ/नहीं, नाखून देखभाल संबंधी सुझाव पाने के लिए 24 घंटे के भीतर उत्तर दें।",,hi,,,
Hindi_row_8,क्या तुमने यह नई फिल्म देखी है?,क्या तुमने यह नई फिल्म देखी है?,,hi,,,
Hindi_row_9,"मैंने आपका संदेश पढ़ लिया है, थोड़ी देर में प्रतिक्रिया दूंगा।","मैंने आपका संदेश पढ़ लिया है, थोड़ी देर में प्रतिक्रिया दूंगा।",,hi,,,
