text_combined,label,message_length
available bugis cine crazy got great la point wat world,ham,55
joking lar ok oni wif,ham,21
87121 apply comp cup entry fa final free question rate receive std text tkts txt win wkly,spam,89
dun early say,ham,13
don goes lives nah think usf,ham,28
50 darling freemsg fun hey like ok send std tb week word xxx,spam,60
brother like speak treat,ham,24
callers callertune copy friends melle oru press request set,ham,59
12 900 claim code customer hours network prize reward selected valid valued winner,spam,82
11 camera colour entitled free latest mobile mobiles months update,spam,66
anymore don gonna home soon stuff talk today tonight ve want,ham,60
000 100 150p 16 20 87575 apply cash cost day hl info pounds reply send txt win,spam,78
000 100 claim free membership net pobox prize txt urgent week won word www,spam,74
help promise right searching thank times ve wonderful wont words,ham,64
date sunday,ham,11
click com credit http link message txt use wap,spam,46
oh watching,ham,11
did eh make naughty remember wet yes,ham,36
feel fine way,ham,13
16 20 87077 dont england miss national news team try txt ur,spam,59
seriously,ham,9
going ha joking months try,ham,26
comin da lar pay stock,ham,22
aft ard finish lor lunch smth str ur,ham,36
alright meet sooner way,ham,23
eat getting hungry just knows lol mark pizza really sick sucks tho turn worried,ham,79
lol,ham,3
bus catch did dinner eating egg feel left love make mom tea,ham,59
amp car know let ll room,ham,24
does feel like lol remember work,ham,32
doesn live sure wait want,ham,25
cheers child doing got like till won yeah,ham,41
tell,ham,4
did just quick,ham,14
charged confirm mobile month reply replying ringtone subscription thanks uk yes,spam,79
2nd going home learn lesson look msg ok yup,ham,43
know let ll oops roommate,ham,25
car letter,ham,10
decide lor,ham,10
decided did hello just saturday texting tomo trying,ham,51
abiola ahead great just pls sure wanted weekend,ham,47
crave did forget love need sweet tell want,ham,42
08000930705 camcorder delivery free mobile msg nokia reply sms tomorrow tried,spam,77
seeing,ham,6
great gt hope inches like lt man,ham,32
calls messages missed,ham,21
didn nigeria,ham,12
going,ham,5
ask bit hopefully maybe tyler yeah,ham,34
didn don hospital kept know mark telling want weak,ham,50
class saw time,ham,14
gets gt half like lt second usually,ham,35
early fyi morning place ride tomorrow tonight,ham,45
best didn doing don embarassed happy liked room sorry thought wow,ham,65
ac correct end ice new play red reply sms,spam,41
did gt know lt url yesterday,ham,28
150pm 5we bx420 cinema congrats dont free ip4 miss pass special year,spam,68
later ll meeting sorry,ham,22
reached tell,ham,12
series yes,ham,10
gonna home pain pick way,ham,24
girls good ha joke situation,ham,28
checking iq,ham,11
come forever ok sorry took,ham,26
check cut da double hair lar look nice ok said short wif wun,ham,60
awarded bonus customer following mob pleased prize review valued,spam,64
day frnds rply send song today ur,ham,33
10 1000 18 50 87121 awarded claim complimentary dis trip txt ur urgent,spam,70
comes did hear new stuff,spam,24
end month plane,ham,15
hee lucky man money save wah,ham,28
class finished,ham,14
babe hi home im wanna xx,ham,24
did,ham,3
,ham,0
free machan waiting,ham,19
cool respect thats treat,ham,24
like pa,ham,7
does gt lt,ham,10
job looking ta,ham,14
later ll sorry,ham,14
ah did just,ham,11
hi home ok way,ham,14
man place,ham,9
stop yup,ham,8
don later network sms urgnt,ham,27
getting need real tickets used yo,ham,33
bed came cash coins double gotta make pain send started yes,ham,59
babe really tonight,ham,19
come download free il kano ur wen,ham,33
catch close don stand tho yeah,ham,30
afternoon haven late means meet night ok pain sorry spent time,ham,62
becoz hurts like loves pain pleasure rain smile smiling trouble,ham,63
0800 1000 10am 5000 9pm cash customer guaranteed prize representative service won,spam,81
530 afternoon buy check finish got havent later planning work,ham,61
fml free password ringtone simply text waiting,spam,46
abt movie wat watching,ham,22
finish loads pay,ham,16
appointment bit cause does forgot hi hols home need ok prob run shower wk yes,ham,77
anymore don say text,ham,20
ave legal long okay pick price ur wen xx,ham,40
buy car driving gone looking test,ham,33
callers callertune copy friends melle oru press request set,ham,59
boston changed cuz didn gave guess mean men nyc page right says search wow,ham,74
dear life lot love umma,ham,23
birthday lot making thanks truly wishes,ham,39
aight cash hit ll,ham,17
address computer considering isn test,ham,37
better jokes know like mom old people play,ham,42
busy dont guess worry,ham,21
research,ham,8
dinner going msg,ham,16
cos dun like mah new ok said scared things try wif,ham,50
1000 12hrs 150ppm claim code contact draw guaranteed prize shows trying valid weekends won,spam,90
eatin fine haha happened juz special tt ur weight,ham,49
apartment askd boss cabin day entered felt happy invited lunch pa said special went,ham,83
1000 18 claim flights holiday live min operator receive selected speak specially winner,spam,87
egg friday needed speak yes,ham,27
buy directly food hmm informed just paying pls school uncle,ham,59
2004 786 account bonus claim code expires identifier points private shows statement unredeemed,spam,94
03 150ppm 2000 awarded bonus caller contact final landline mobile prize try urgent,spam,82
address new,ham,11
08712300220 350 app award claim code ending match numbers quoting rates receive selected standard todays voda,spam,109
12 going mu today,ham,17
buying finish ll time wat,ham,25
good stuff,ham,10
bother dont hasn just know money place sending sent shouldn text yetunde,ham,72
room,ham,4
bak del girl hey hope long time,ham,31
cost does,ham,9
home,ham,4
dear pls,ham,8
answer question,ham,15
50 82277 ansr country dvd know player quiz sony sp sunshine txt tyrone win wkly,spam,79
150p bt direct dogging ec2a join laid largest locations mob msg network nt real sent tonight txting uk ur want,spam,110
com haf yijue,ham,13
meet,ham,4
activities befor check rooms,ham,28
age chat free ll msgs network services text try yr,spam,50
forgot got lazy lect like nice saw type,ham,39
text way,ham,8
mail sir waiting,ham,16
biggest coz doing gud little lovable ni8 persons swt things thought tired,ham,73
know open pls,ham,13
ya yes,ham,6
class taking whats,ham,18
end freemsg haven hear live local luv msg netcollex replied reply sexy stop text,spam,80
begin check hard life pls pray qatar,ham,36
contact deleted,ham,15
got job,ham,7
wine,ham,4
better cine cos mah need thk yup,ham,32
ok reply ur,ham,11
callers callertune copy friends melle oru press request set,ham,59
comes dream guess half joy just like ll lots open rain shirt shows things time tv world,ham,87
work,ham,4
house leaving,ham,13
boy did doing good happy hello interview love missing think today,ham,65
arrange customer delivery new service waiting years,spam,51
1000 cash claim flights holiday live operator receive selected speak specially winner,spam,85
life miss need real safe,ham,24
car hand house job new parents,ham,30
day happy love make spend,ham,25
434 62468 ac friend frnd inviting pls reply send sms stop www yes,spam,65
content download goto internet menu mobile msg order receive service tv ur wap way,spam,82
place points ur,ham,15
12hrs 900 claim code contact draw guaranteed prize shows trying urgent valid weekends won,spam,89
best frnd hi way wit,ham,20
escape fancy great needs tomo,ham,29
completely waste yes,ham,20
account address bank need sir,ham,29
abt ard discuss free got hmmm hop liao muz sure thk time ya,ham,59
coming later time,ham,17
believe bloody forgot hell ill mr,ham,33
bath fine finish gonna good night,ham,33
carlos got know let make money ve,ham,33
going,ham,5
ahead feel free friends gt lt smoke staying til turns won worth,ham,63
doesnt know let log reply text,ham,30
experience free hi just know like reply spoke yes,ham,49
anyways end especially gr8 hurts money month need offer studying weekend,ham,72
lol trust,ham,9
ok respect treat,ham,16
close guys,ham,10
bye going great,ham,15
boytoy does getting hello job lazy miss mummy net working,ham,57
awesome haha minute,ham,19
0808 1000 11pm 145 4742 5000 9am cash customer freephone guaranteed prize representative service won,spam,100
got radio times xmas,ham,20
bathe home jus net reached sis tell using,ham,41
uk unique www,spam,13
cost deal dont friend great joined mean people personal sorry times touch ve week,ham,81
course finally hi,ham,17
able stop,ham,9
day doing gr8 hope just new school settled ve year,ham,50
day dear gud hav mrng nice,ham,26
did got persons story,ham,21
dead hey meet mrt orchard tmr,ham,29
bit bloody evening hi hope kate tomorrow txt xxx,ham,48
gt lt,ham,5
bucks gt lt sent,ham,16
college darlin finish finished hello ive kate love txt xxx,ham,58
account balance decimal gt id lt rs transaction,ham,47
goodmorning sleeping,ham,20
11 ok,ham,5
buy dat dun lar like oredi oso say,ham,34
apartment askd boss cabin day entered felt happy invited lunch pa said special went,ham,83
aight straight yo,ham,17
connection decimal gt lt today,ham,30
big loads ready shoot,ham,21
break great hope semester,ham,25
chat home,ham,9
good study,ham,10
leh noe yup,ham,11
great home sounds,ham,17
draw finally match,ham,18
haven nights past slept tired,ham,29
ah easy good got means selected sen,ham,35
exam march,ham,10
atm gt help know let ready sure think use yeah,ham,46
ok prob time ur,ham,15
called copy files hard important run shop use,ham,45
later ll sorry,ham,14
bit course happen jus lar leh lor nice nite romantic say thk,ham,60
2004 2optout 500 biz collect mobiles new nokia tc today txt www,spam,63
appreciate just need really talk,ham,32
career dream followed free meet partner sign soon start txt ur,spam,62
company hey po,ham,14
amp bcoz exam happy lesson lessons life morning teaches,ham,55
dear good morning,ham,17
cross cut gt lt right road street turn walk,ham,43
dear going place,ham,16
battery died sorry yeah,ham,23
available place tv work yes,ham,27
10p 18 25 age date flirt join just meet msg recd reply sam sexy text today,spam,74
come gt lt oh,ham,13
bus closer ill like little stop street,ham,38
reach wil,ham,9
amp argue argument correct dont friends just kick new person say situation theory ur wins,ham,89
admirer contact looking make reveal secret special thinks ur,spam,60
case final laptop,ham,17
tel,ham,3
better just meant okay sounds,ham,29
cos dat face fr gave like really thanx today told ve watch,ham,58
don old remember,ham,16
didn dont late said website,ham,27
asked ok,ham,8
2nd kallis wont,ham,15
didnt fix good goodnight ll missed night oh ok ready sleep time wake work,ham,73
100 500 87066 awarded cd com1win150ppmx3age16 congratulations draw entry free guaranteed ldew music tncs txt ur vouchers wkly www,spam,129
cal hold,ham,8
affection angry bcums care childish coz da day deep dnt kettoda lovable luv manda nice seriously showing true ur way wen wid,ham,124
doing,ham,5
company gets stuff takes way week,ham,33
know lemme ready,ham,16
don expect just,ham,15
babe mmm nice,ham,13
lover need,ham,10
08000930705 750 anytime camcorder contact handset mins offer reply text tried unlimited video,spam,93
coming think today,ham,18
yup,ham,3
cos disturb dun going liao shopping sis,ham,39
ring ur,ham,7
150pm charged chat hey horny hot naked really stop text unsubscribe want,spam,72
come dint,ham,9
plan trip wana,ham,14
hold sure trying,ham,16
150p 25 changed choose club com content credits free po ringtone service stop txt ur wk,spam,87
download just,ham,13
charge choose club free message mobile quality ringtone singles uk week,spam,71
come mu situation,ham,17
bay blue come day ended leaves like morning night rays smile special sunny way worries,ham,86
500 86688 answer bonus com easy hmv info just play pounds questions real send special vouchers won www,spam,102
car guess usf,ham,13
bf coming,ham,9
thanx,ham,5
tell,ham,4
awesome bit ll,ham,14
food just like sent type,ham,24
swing,ham,5
called got,ham,10
miss wen,ham,8
asked far money ok,ham,18
okie,ham,4
anybody guy know let ll night passed think throw usual yeah,ham,59
class come early lets tonight,ham,29
ok,ham,2
alright baby fone friend girl hi home hour im love thats xxx,ham,60
calls friends ge life lot love means people world,ham,49
busy dear good looking mail ok real sense shall street things tonite update,ham,75
ah hey told,ham,11
cam da feel haf stupid working,ham,30
bit got oops,ham,12
,ham,0
accidentally deleted message,ham,28
apply camera card claim customer ends free loyalty mobile offer pay phone sim,spam,77
situation unless,ham,16
bslvyl day die end hurt life make miss nice plz rose say stupid,ham,63
message phone pick pls right send,ham,33
believe coffee need run time tomo week,ham,38
awesome got high remember somebody time,ham,39
def imagine night really save second shit think,ham,47
food meal oh tonight want way,ham,29
,ham,0
21 4u ac check date dates http send sms,spam,39
book think yup,ham,14
ask meet wana,ham,13
buy cause friendship hanging lol stuff won yes,ham,46
babes check content games mobile selection sport text themob tones wap,spam,70
aren,ham,4
accept belovd brother day enemy lover means rply sister today,ham,61
16 200 50 box cs play po quiz smart text think ur week weekly win,spam,65
buying definitely end friend got ll money says week,ham,51
2day hi hope know lost normal real rest unique ur way wot,ham,57
day great,ham,9
advance happy pongal,ham,20
dunno forgot got guess haha hmmm kb liao oso power thk yoga,ham,59
afraid dude friends really,ham,26
08002986906 11mths camera colour december entitled free latest mobile update,spam,76
cake coffee guess,ham,17
babe christmas kisses love merry ya,ham,35
dont haha hey just lunch men watch,ham,34
bit cos cud hav im past pete ppl tell waitin,ham,44
good great ll meet plans road touch week weekend,ham,48
doing problem,ham,13
calls messages missed,ham,21
class da hi todays,ham,18
good know reading say sign track,ham,32
cool text,ham,9
joke just light meant read reading sent text,ham,44
good movie,ham,10
book immediately maybe return tomo,ham,34
85 access direct fixed line minute number,spam,41
chance contact cool number phone report soon,ham,44
