id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
bangla_smish_row_0,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। জরুরি ভিত্তিতে কল করুন: +8801812345678,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। জরুরি ভিত্তিতে কল করুন: +8801812345678,,hi,,,
bangla_smish_row_1,আপনার দিন কেমন কাটছে?,আপনার দিন কেমন কাটছে?,,bn,,,
bangla_smish_row_2,"৪৫৳ ক্যাশব্যাক! ৪৬জিবি @ ৪৫৩৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/4wQzxdl1","৪৫৳ ক্যাশব্যাক! ৪৬জিবি @ ৪৫৩৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/4wQzxdl1",,bn,,,
bangla_smish_row_3,"হ্যালো, কি খবর?","হ্যালো, কি খবর?",,bn,,,
bangla_smish_row_4,জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801816566678,জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801816566678,,hi,,,
bangla_smish_row_5,আপনার ডেবিট কার্ডের পিন রিসেট করতে কল করুন +8801919900012,আপনার ডেবিট কার্ডের পিন রিসেট করতে কল করুন +8801919900012,,bn,,,
bangla_smish_row_6,ক্যাসিনোতে বাজি ধরুন এবং একটি নতুন স্মার্টফোন জেতার সুযোগ পান! যোগ দিন: ebayisapidlld.altervista.org/,ক্যাসিনোতে বাজি ধরুন এবং একটি নতুন স্মার্টফোন জেতার সুযোগ পান! যোগ দিন: ebayisapidlld.altervista.org/,,bn,,,
bangla_smish_row_7,"ইন্টারনেটিংয়ে পকেট সেভিং, নাও ১০জিবি@৳১৫৮, ৭দিন: cutt.ly/FwUC6vh","ইন্টারনেটিংয়ে পকেট সেভিং, নাও ১০জিবি@৳১৫৮, ৭দিন: cutt.ly/FwUC6vh",,bn,,,
bangla_smish_row_8,০১৮২৭৩৮২৮৭৩ নাম্বারে বিকাশ করুন।,০১৮২৭৩৮২৮৭৩ নাম্বারে বিকাশ করুন।,,hi,,,
bangla_smish_row_9,আমি বাড়ির ছোট ভাইয়ের সাথে খুব ভালো বন্ধু।,আমি বাড়ির ছোট ভাইয়ের সাথে খুব ভালো বন্ধু।,,hi,,,
