id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_0,"Dear Customer, +916300623587 is now available to take calls.","Dear Customer, +916300623587 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_1,"Dear Customer, You have a missed call from +916300623587 The last missed call was at 06:26 PM ON 25-KNP-0373 Thankyou, Team Jio.","Dear Customer, You have a missed call from +916300623587 The last missed call was at 06:26 PM NP 86-POA-1882 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_2,"Join Hike to get Rs 28. Earn upto Rs. 86,276 by inviting your friends - http://go-hike.in/a/GqYeA1m1","Join Hike to get Rs 66. Earn upto Rs. 57,678 by inviting your friends - http://go-hike.in/a/GqYeA1m1",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_3,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/Vxyucxdm,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/Vxyucxdm,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_4,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/Vxyucxdm,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/Vxyucxdm,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_5,Bayataki vachaka phone cheyandi,Bayataki vachaka phone cheyandi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_6,Arey Nikhil gadu echina Kotta jars evvi,Arey Nikhil gadu echina Kotta jars evvi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_7,"Dear Customer, +917480032222 is now available to take calls.","Dear Customer, +917480032222 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_8,Kal Subha sabji jaroor leke ana ,Kal Subha sabji jaroor leke ana ,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_9,Bring vegetables 2mrw mrng while cmng to room,Bring vegetables 2mrw mrng while cmng to room,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_10,Repu podduna Jogging poye tappudu vegetables ki dabbulu pattukellu ,Repu podduna Jogging poye tappudu vegetables ki dabbulu pattukellu ,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_11,hi,hi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_12,Mama endi ra edi,Mama endi ra edi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_13,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/2ZDUm6nR,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/2ZDUm6nR,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_14,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/2ZDUm6nR,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/2ZDUm6nR,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_15,"PNR:9057612607,TRAIN:12791,DOJ:29-01-18,3A,KZJ-DNR,Dep:12:02,
VINAY+1,B3 13,B3 14,
Fare:4380,SC:0.0+PG+INS
","PNR:3030061955,TRAIN:12791,DOJ:29-01-18,3A,KZJ-DNR,Dep:12:02,
VINAY+1,B3 13,B3 14,
Fare:4380,SC:0.0+PG+INS
",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_16,Okay cal chey,Okay cal chey,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_17,clg lo una 5 min,clg lo una 5 min,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_18,"Dear Customer, +918074491375 is now available to take calls.","Dear Customer, +918074491375 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_19,Just invited you to Hike. Join in 24 hours and get Rs. 00 for free in your Wallet. I will get Rs. 12 too. Download Now http://go-hike.in/a/8XRiGCA1,Just invited you to Hike. Join in 24 hours and get Rs. 63 for free in your Wallet. I will get Rs. 81 too. Download Now http://go-hike.in/a/8XRiGCA1,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_20,"Dear Customer, You have 2 missed calls from +918171535202 The last missed call was at 11:21 AM TI 72-CPC-2632 Thankyou, Team Jio.","Dear Customer, You have 2 missed calls from +918171535202 The last missed call was at 11:21 AM FI 07-QHI-1519 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_21,"Dear Customer, +918309108265 is now available to take calls.","Dear Customer, +918309108265 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_22,Chinna do you drink coffee or tea,Chinna do you drink coffee or tea,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_23,"Dear Customer, +918309285366 is now available to take calls.","Dear Customer, +918309285366 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_24,Hehe okie,Hehe okie,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_25,L,L,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_26,"Dear Customer, +918309895880 is now available to take calls.","Dear Customer, +918309895880 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_27,"Dear Customer, +918309895880 is now available to take calls.","Dear Customer, +918309895880 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_28,"Dear Customer, You have a missed call from +918309895880 The last missed call was at 02:48 PM BT 22-ENL-8429 Thankyou, Team Jio.","Dear Customer, You have a missed call from +918309895880 The last missed call was at 02:48 PM DX 32-QVC-0666 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_29,Chinna Jio (+918309108265),Chinna Jio (+918309108265),,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_30,Surender dudyala sir class unda,Surender dudyala sir class unda,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_31,Class unda,Class unda,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_32,Reply,Reply,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_33,Reply,Reply,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_34,Reply,Reply,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_35,Hy Manu the *odda,Hy Manu the *odda,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_36,Password cheppu ra,Password cheppu ra,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_37,"Dear Customer, You have a missed call from +918501000927 The last missed call was at 08:12 AM EY 39-HGT-4751 Thankyou, Team Jio.","Dear Customer, You have a missed call from +918501000927 The last missed call was at 08:12 AM WM 98-CZN-9067 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_38,"Dear Customer, You have a missed call from +918522810756 The last missed call was at 12:04 PM GO 51-VJE-2222 Thankyou, Team Jio.","Dear Customer, You have a missed call from +918522810756 The last missed call was at 12:04 PM WR 41-HWZ-5302 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_39,Call me,Call me,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_40,WhatsApp Ra ra,WhatsApp Ra ra,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_41,WhatsApp ki rara gandimaidan lo guddalu udadesi kodta,WhatsApp ki rara gandimaidan lo guddalu udadesi kodta,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_42,Jogging podam,Jogging podam,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_43,Arey lesinaka Naku missed call evvu,Arey lesinaka Naku missed call evvu,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_44,Class ki ravanna,Class ki ravanna,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_45,"Dear Customer, +918639417540 is now available to take calls.","Dear Customer, +918639417540 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_46,"Dear Customer, +918639417540 is now available to take calls.","Dear Customer, +918639417540 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_47,"Dear Customer, +918639417540 is now available to take calls.","Dear Customer, +918639417540 is now available to take calls.",,en,,,
