asset_id,headline,long_headline,description,cta
otp_scam_benefit_headline_square,Delivery OTP? Pause first,Scam caller says delivery. SMS Classifier shows account access risk before you share.,This SMS warning app shows account access risk before you share a code.,Free for 14 days
otp_scam_benefit_headline_portrait,Delivery OTP? Pause first,Scam caller says delivery. SMS Classifier shows account access risk before you share.,This SMS warning app shows account access risk before you share a code.,Free for 14 days
otp_scam_short_tension_benefit_headline_landscape,Delivery OTP? Pause first,Scam caller says delivery. SMS Classifier shows account access risk before you share.,This SMS warning app shows account access risk before you share a code.,Free for 14 days
otp_scam_short_tension_benefit_headline_portrait,Delivery OTP? Pause first,Scam caller says delivery. SMS Classifier shows account access risk before you share.,This SMS warning app shows account access risk before you share a code.,Free for 14 days
family_scam_benefit_headline_square,Scam SMS warnings for family,Parents may tap scam texts. SMS Classifier warns before suspicious links open.,This SMS warning app flags suspicious links before family taps.,Free for 14 days
family_scam_caregiver_question_benefit_headline_square,Scam SMS warnings for family,Parents may tap scam texts. SMS Classifier warns before suspicious links open.,This SMS warning app flags suspicious links before family taps.,Free for 14 days
family_scam_caregiver_question_benefit_headline_landscape,Scam SMS warnings for family,Parents may tap scam texts. SMS Classifier warns before suspicious links open.,This SMS warning app flags suspicious links before family taps.,Free for 14 days
family_scam_caregiver_question_benefit_headline_portrait,Scam SMS warnings for family,Parents may tap scam texts. SMS Classifier warns before suspicious links open.,This SMS warning app flags suspicious links before family taps.,Free for 14 days
V_OTP_SCAM_9x16,Delivery OTP? Pause first,Scam caller says delivery. SMS Classifier shows account access risk before you share.,This SMS warning app shows account access risk before you share a code.,Free for 14 days
V_PARENT_SCAM_9x16,Scam SMS warnings for family,Parents may tap scam texts. SMS Classifier warns before suspicious links open.,This SMS warning app flags suspicious links before family taps.,Free for 14 days
