original_index,sms_text,predicted_is_otp,predicted_otp_intent,classification_status,batch_number,is_phishing_original
synthetic_APP_ACCOUNT_CHANGE_OTP_72f1039d,"Your SBI account change OTP: 2348. Don't share, use within 1 hour.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_6873ebdc,HDFC Bank: Your new phone number update OTP is: 5423. Never share with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_b45ee617,"OTP for updating Kotak Mahindra Bank account details: 8197. Valid only once, so use soon!",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_199633de,"Your Axis Bank account profile change OTP: 6271. Keep safe, don't disclose to others",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_7b75661a,"PNB Account Change OTP: 3158. Not shareable with anyone, use within the hour.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_4c508514,"Canara Bank: Your password reset OTP is: 4639. Don't share or misuse, it's for security",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_f5f7977f,"ICICI Bank: New email update OTP: 9285. Only use once, then discard immediately",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_498cd32e,"OTP for changing IDFC First Bank account settings: 6713. Never share with others, keep secure.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_994d6a6c,"Your IndusInd Bank account change OTP: 2356. Use within 30 minutes, don't share.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_223c6d49,"Bank of Baroda: Your contact update OTP is: 5439. Valid only for 15 minutes, so use quickly",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_6d7d33f1,"OTP for changing RBL Bank account info: 8192. Only use once, then delete the code.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_a78671db,"Your Yes Bank account change OTP: 6274. Don't share with anyone, it's confidential.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_9028688f,"OTP for updating Bandhan Bank account details: 4638. Use within the hour, then discard",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_2210b4cc,"Your Axis Lite Account Change OTP: 3159. Keep secure, never share or misuse.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_504cf2b7,"OTP for resetting IDFC First Bank account password: 6714. Valid only once, so use soon!",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_3bbe5c80,Your OTP for changing mobile number is 4321. Don't share with anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_b1572b6d,"Bank of Baroda: Update your email address with OTP 6789. Valid only once, don't share!",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_83d62297,OTP (9876) to reset your password is sent to you from Paytm. Do not disclose,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_7510631d,"ICICI Bank: Verify phone number update with OTP 5432. Limited time, do not share.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_285efc3e,Your OTP for profile change on Ola Money is 1234. Keep safe!,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_1c762290,OTP (5678) to reset account details from SBI Card. Never disclose to anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_6df15f85,"PhonePe: Update your contact info with OTP 9012. Do not share, secret code",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_ee9479d6,Your OTP for changing profile picture on IDFC First Bank is 3456. Keep secure.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_42c2d459,OTP (2345) to reset login password from Axis Bank. Limited time use only.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_05c9ddb8,"PayU: Update your address with OTP 6789. Valid once, do not share.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_cbd79b1f,Your OTP for account change on YES Bank is 9876. Keep confidential,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_18449423,OTP (1234) to reset email id from Kotak Mahindra Bank. Do not disclose to anyone.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_6277738f,"SBI: Update your phone number with OTP 5432. Limited time, do not share.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_f46c8108,Your OTP for password reset on HDFC Bank is 9012. Keep safe!,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_4f648514,OTP (3456) to change profile picture from RBL Bank. Valid once only,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_d30fbb35,"OTP: 8149 for profile update on SBI Money on mobile. Keep secure, do not share!",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_855ef520,Your OTP for password reset on Axis Bank App is: 3268. Valid for 1 hour only.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
synthetic_APP_ACCOUNT_CHANGE_OTP_2a332fb8,"Update your contact info with HDFC Bank Mobile Banking using OTP 9536. Secret code, not to be shared.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False
