id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
Spam Message Collection_row_0,"உங்கள் டீமை நண்பர்களுடன் உற்சாகப்படுத்தவும் 599ல்,கிரிக்கெட்டிற்கு ஏர்டெல் டிக்கெட்-1 வருட Disney Hotstar VIP,2GB/நாள் அளவில்லா கால்,56நாள் u.airtel.in/Cric6","உங்கள் டீமை நண்பர்களுடன் உற்சாகப்படுத்தவும் 599ல்,கிரிக்கெட்டிற்கு ஏர்டெல் டிக்கெட்-1 வருட Disney Hotstar VIP,2GB/நாள் அளவில்லா கால்,56நாள் u.airtel.in/Cric6",,en,,,
Spam Message Collection_row_1,போரடிக்கிறதா? களிப்பை தொடர்க! ரம்மி ஆடி பணம் வெல்க 1kx.in/hScN5e,போரடிக்கிறதா? களிப்பை தொடர்க! ரம்மி ஆடி பணம் வெல்க 1kx.in/hScN5e,,en,,,
Spam Message Collection_row_2,போரடிக்கிறதா? களிப்பை தொடர்க! ரம்மி ஆடி பணம் வெல்க 1kx.in/PTfTYf,போரடிக்கிறதா? களிப்பை தொடர்க! ரம்மி ஆடி பணம் வெல்க 1kx.in/PTfTYf,,en,,,
Spam Message Collection_row_3,"உங்கள் டீமை நண்பர்களுடன் உற்சாகப்படுத்தவும் 599ல்,கிரிக்கெட்டிற்கு ஏர்டெல் டிக்கெட்-1 வருட Disney Hotstar VIP,2GB/நாள் அளவில்லா கால்,56நாள் u.airtel.in/Cric6","உங்கள் டீமை நண்பர்களுடன் உற்சாகப்படுத்தவும் 599ல்,கிரிக்கெட்டிற்கு ஏர்டெல் டிக்கெட்-1 வருட Disney Hotstar VIP,2GB/நாள் அளவில்லா கால்,56நாள் u.airtel.in/Cric6",,en,,,
Spam Message Collection_row_4,"இது எப்படி இருக்கு?தமிழா காம்போ பேக்,ஜீ,சன்,விஜய்+கிட்ஸ் & ஸ்போர்ட்ஸ் + அனைத்து தமிழ சேனல்களை மாதம் ரூ169 க்கு d2hல் கிடைக்கிறது.TnC","இது எப்படி இருக்கு?தமிழா காம்போ பேக்,ஜீ,சன்,விஜய்+கிட்ஸ் & ஸ்போர்ட்ஸ் + அனைத்து தமிழ சேனல்களை மாதம் ரூ169 க்கு d2hல் கிடைக்கிறது.TnC",,en,,,
Spam Message Collection_row_5,"இது எப்படி இருக்கு?தமிழா காம்போ பேக்,ஜீ,சன்,விஜய்+கிட்ஸ் & ஸ்போர்ட்ஸ் + அனைத்து தமிழ சேனல்களை மாதம் ரூ169 க்கு d2hல் கிடைக்கிறது.TnC","இது எப்படி இருக்கு?தமிழா காம்போ பேக்,ஜீ,சன்,விஜய்+கிட்ஸ் & ஸ்போர்ட்ஸ் + அனைத்து தமிழ சேனல்களை மாதம் ரூ169 க்கு d2hல் கிடைக்கிறது.TnC",,en,,,
Spam Message Collection_row_6,திருப்பாவை 7 ஆம் பாசுரம் ௮ன்பில் சுந்தரராஜ பெருமாள் சேவை,திருப்பாவை 7 ஆம் பாசுரம் ௮ன்பில் சுந்தரராஜ பெருமாள் சேவை,,unknown,,,
Spam Message Collection_row_7,போரடிக்கிறதா? களிப்பை தொடர்க! ரம்மி ஆடி பணம் வெல்க 1kx.in/eoWyuU,போரடிக்கிறதா? களிப்பை தொடர்க! ரம்மி ஆடி பணம் வெல்க 1kx.in/eoWyuU,,en,,,
Spam Message Collection_row_8,"Rs.774 உடன் ரீசார்ஜ் செய்து தினமும் 2 GB டேட்டா, அன்லிமிடெட் ஜியோ அழைப்புகள் மற்றும் ஜியோ அல்லாத மற்ற மொபைல் அழைப்புகளுக்கு 2000 நிமிடங்களை பெறுங்கள். வேலிடிட்டி 56 நாட்கள். கிளிக் www.jio.com/r/m497bub2B","Rs.858 உடன் ரீசார்ஜ் செய்து தினமும் 2 GB டேட்டா, அன்லிமிடெட் ஜியோ அழைப்புகள் மற்றும் ஜியோ அல்லாத மற்ற மொபைல் அழைப்புகளுக்கு 2000 நிமிடங்களை பெறுங்கள். வேலிடிட்டி 56 நாட்கள். கிளிக் www.jio.com/r/m497bub2B",,en,,,
Spam Message Collection_row_9,எங்கிருந்து வராங்கன்னே தெரியல கீழ விழுந்து கூட live போட்டு கிட்டு.,எங்கிருந்து வராங்கன்னே தெரியல கீழ விழுந்து கூட live போட்டு கிட்டு.,,en,,,
Spam Message Collection_row_10,"இந்த காலத்து மாணவர்கள் பெருக்கல் கணக்கை கூட த்ரிஷா x ""த்ரி""ஷா = ""நயன்""தாரா என்று கூறினால் தான் புரிந்து கொள்கின்றார்கள்","இந்த காலத்து மாணவர்கள் பெருக்கல் கணக்கை கூட த்ரிஷா x ""த்ரி""ஷா = ""நயன்""தாரா என்று கூறினால் தான் புரிந்து கொள்கின்றார்கள்",,en,,,
Spam Message Collection_row_11,வாழ்த்துகள் திருமதி & திரு.சுனில். வாழ்க நலத்துடனும் வளத்துடனும்😊💐😊💐😊💐,வாழ்த்துகள் திருமதி & திரு.சுனில். வாழ்க நலத்துடனும் வளத்துடனும்😊💐😊💐😊💐,,unknown,,,
Spam Message Collection_row_12,😂😂எதுக்கு வம்பு ஒருத்தன் பிரியாணி என்பான் ஒருத்தன் வறுவல் என்பான். அதான்🤣🤣🤣,😂😂எதுக்கு வம்பு ஒருத்தன் பிரியாணி என்பான் ஒருத்தன் வறுவல் என்பான். அதான்🤣🤣🤣,,unknown,,,
Spam Message Collection_row_13,அந்த அம்மா சொல்றத வச்செல்லாம் நீங்க பயப்படாதீங்க விவேக்கு... பாத்துக்கலாம்... என்ன செஞ்சுருவாங்க...🤣🤣🤣,அந்த அம்மா சொல்றத வச்செல்லாம் நீங்க பயப்படாதீங்க விவேக்கு... பாத்துக்கலாம்... என்ன செஞ்சுருவாங்க...🤣🤣🤣,,unknown,,,
Spam Message Collection_row_14,என்னதான் சொல்லமுடியும்😁😁😁😁,என்னதான் சொல்லமுடியும்😁😁😁😁,,unknown,,,
Spam Message Collection_row_15,அமைச்சரின் பேச்சு அருமை.அரசியல் கலக்காத ஒரு வேளாண் குடிமகனாகமாறிவிட்டார்🙏,அமைச்சரின் பேச்சு அருமை.அரசியல் கலக்காத ஒரு வேளாண் குடிமகனாகமாறிவிட்டார்🙏,,unknown,,,
Spam Message Collection_row_16,https://youtu.be/Ij-t5U-BVmw மேய்ச்சல்த் தொழில் மீட்பு விழாவில் அமைச்சர் மூர்த்தி நிகழ்த்திய உரை ..!,https://youtu.be/Ij-t5U-BVmw மேய்ச்சல்த் தொழில் மீட்பு விழாவில் அமைச்சர் மூர்த்தி நிகழ்த்திய உரை ..!,,en,,,
Spam Message Collection_row_17,"இடமாற்றம் : வாஸன் கண் மருத்துவமனை, 80 அடி ரோடு, அம்பிகா தியேட்டர் எதிரில், அண்ணாநகர் , மதுரை முன்பதிவுக்கு : 0452-4089000 , 1877677521","இடமாற்றம் : வாஸன் கண் மருத்துவமனை, 80 அடி ரோடு, அம்பிகா தியேட்டர் எதிரில், அண்ணாநகர் , மதுரை முன்பதிவுக்கு : 0452-4089000 , 2866277081",,unknown,,,
Spam Message Collection_row_18,"உங்கள் அன்புக்குரியவர்களை அழைக்க முடியவில்லையா? உங்கள் மொபைல் எண்ணில் உள்ள இன்கம்மிங் சேவைகள் முடிந்துவிட்டது,சேவைகளை மீண்டும் தொடங்க 12181 ஐ அழைக்கவும்.ஏற்கனவே ரீசார்ஜ் செய்திருந்தால் புறக்கணிக்கவும்.","உங்கள் அன்புக்குரியவர்களை அழைக்க முடியவில்லையா? உங்கள் மொபைல் எண்ணில் உள்ள இன்கம்மிங் சேவைகள் முடிந்துவிட்டது,சேவைகளை மீண்டும் தொடங்க 12181 ஐ அழைக்கவும்.ஏற்கனவே ரீசார்ஜ் செய்திருந்தால் புறக்கணிக்கவும்.",,unknown,,,
Spam Message Collection_row_19,"அன்புள்ள வாடிக்கையாளர், ஒரு சர்வதேச அழைப்பை பெறும்போது,உங்கள் போனில் ஒரு இந்திய எண் அல்லது எந்தவொரு எண்ணும் காட்டப்படவில்லை என்றால், தயவுசெய்து 9128686392/1963 என்ற DoT டோல்பிரீ எண்ணிற்கு தெரிவிக்கவும்.","அன்புள்ள வாடிக்கையாளர், ஒரு சர்வதேச அழைப்பை பெறும்போது,உங்கள் போனில் ஒரு இந்திய எண் அல்லது எந்தவொரு எண்ணும் காட்டப்படவில்லை என்றால், தயவுசெய்து 5278359356/1963 என்ற DoT டோல்பிரீ எண்ணிற்கு தெரிவிக்கவும்.",,en,,,
