asset_id,platform,campaign_type,placement,format,ratio,dimensions,persona,ad_group,hook_family,hook,hook_id,hook_type,hero_feature,visual_proof,proof_id,callout_text,primary_text,headline,description,cta,claim_risk,status,spec
otp_benefit_headline_square,Google,App Campaign,Auto,image,1:1,1200x1200,app installer,OTP retrieval,benefit_headline,Find OTPs faster,H001,pain_led,OTP retrieval,OTP focus,otp_focus,,Find OTPs faster,Find OTPs faster,See otp retrieval in a clean app UI.,,low,ready_for_eval,google_app_square
otp_benefit_headline_landscape,Google,App Campaign,Auto,image,1.91:1,1200x628,app installer,OTP retrieval,benefit_headline,Find OTPs faster,H001,pain_led,OTP retrieval,OTP focus,otp_focus,,Find OTPs faster,Find OTPs faster,See otp retrieval in a clean app UI.,,low,ready_for_eval,google_app_landscape
otp_benefit_headline_portrait,Google,App Campaign,Auto,image,4:5,1200x1500,app installer,OTP retrieval,benefit_headline,Find OTPs faster,H001,pain_led,OTP retrieval,OTP focus,otp_focus,,Find OTPs faster,Find OTPs faster,See otp retrieval in a clean app UI.,,low,ready_for_eval,google_app_portrait
suspicious_benefit_headline_square,Google,App Campaign,Auto,image,1:1,1200x1200,app installer,Suspicious text review,benefit_headline,Review suspicious texts,H002,pain_led,Suspicious text review,Suspicious review,suspicious_focus,,Review suspicious texts,Review suspicious texts,See suspicious text review in a clean app UI.,,medium,ready_for_eval,google_app_square
suspicious_benefit_headline_landscape,Google,App Campaign,Auto,image,1.91:1,1200x628,app installer,Suspicious text review,benefit_headline,Review suspicious texts,H002,pain_led,Suspicious text review,Suspicious review,suspicious_focus,,Review suspicious texts,Review suspicious texts,See suspicious text review in a clean app UI.,,medium,ready_for_eval,google_app_landscape
suspicious_benefit_headline_portrait,Google,App Campaign,Auto,image,4:5,1200x1500,app installer,Suspicious text review,benefit_headline,Review suspicious texts,H002,pain_led,Suspicious text review,Suspicious review,suspicious_focus,,Review suspicious texts,Review suspicious texts,See suspicious text review in a clean app UI.,,medium,ready_for_eval,google_app_portrait
clear_inbox_benefit_headline_square,Google,App Campaign,Auto,image,1:1,1200x1200,app installer,Inbox clarity,benefit_headline,A clearer SMS inbox,H003,benefit_led,Inbox clarity,Sorted inbox,sorted_focus,,A clearer SMS inbox,A clearer SMS inbox,See inbox clarity in a clean app UI.,,low,ready_for_eval,google_app_square
clear_inbox_benefit_headline_landscape,Google,App Campaign,Auto,image,1.91:1,1200x628,app installer,Inbox clarity,benefit_headline,A clearer SMS inbox,H003,benefit_led,Inbox clarity,Sorted inbox,sorted_focus,,A clearer SMS inbox,A clearer SMS inbox,See inbox clarity in a clean app UI.,,low,ready_for_eval,google_app_landscape
clear_inbox_benefit_headline_portrait,Google,App Campaign,Auto,image,4:5,1200x1500,app installer,Inbox clarity,benefit_headline,A clearer SMS inbox,H003,benefit_led,Inbox clarity,Sorted inbox,sorted_focus,,A clearer SMS inbox,A clearer SMS inbox,See inbox clarity in a clean app UI.,,low,ready_for_eval,google_app_portrait
V_OTP_9x16,Meta,App Install,Reels,video,9:16,1080x1920,app installer,OTP retrieval,video_ui_proof,Find OTPs faster,H001,pain_led,OTP retrieval,OTP focus,otp_focus,,Find OTPs faster,Find OTPs faster,See OTP retrieval in a clean app UI.,,low,ready_for_eval,meta_reels_video
V_REVIEW_9x16,Meta,App Install,Reels,video,9:16,1080x1920,app installer,Suspicious text review,video_ui_proof,Review suspicious texts,H002,pain_led,Suspicious text review,Suspicious review,suspicious_focus,,Review suspicious texts,Review suspicious texts,See suspicious text review in a clean app UI.,,medium,ready_for_eval,meta_reels_video
