id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
balanced_spam_dataset_row_0,available bugis cine crazy got great la point wat world,available bugis cine crazy got great la point wat world,,en,,,
balanced_spam_dataset_row_1,joking lar ok oni wif,joking lar ok oni wif,,en,,,
balanced_spam_dataset_row_2,87121 apply comp cup entry fa final free question rate receive std text tkts txt win wkly,87121 apply comp cup entry fa final free question rate receive std text tkts txt win wkly,,en,,,
balanced_spam_dataset_row_3,dun early say,dun early say,,en,,,
balanced_spam_dataset_row_4,don goes lives nah think usf,don goes lives nah think usf,,en,,,
balanced_spam_dataset_row_5,50 darling freemsg fun hey like ok send std tb week word xxx,50 darling freemsg fun hey like ok send std tb week word xxx,,en,,,
balanced_spam_dataset_row_6,brother like speak treat,brother like speak treat,,en,,,
balanced_spam_dataset_row_7,callers callertune copy friends melle oru press request set,callers callertune copy friends melle oru press request set,,en,,,
balanced_spam_dataset_row_8,12 900 claim code customer hours network prize reward selected valid valued winner,12 900 claim code customer hours network prize reward selected valid valued winner,,en,,,
balanced_spam_dataset_row_9,11 camera colour entitled free latest mobile mobiles months update,11 camera colour entitled free latest mobile mobiles months update,,en,,,
balanced_spam_dataset_row_10,anymore don gonna home soon stuff talk today tonight ve want,anymore don gonna home soon stuff talk today tonight ve want,,en,,,
balanced_spam_dataset_row_11,000 100 150p 16 20 87575 apply cash cost day hl info pounds reply send txt win,000 100 150p 16 20 87575 apply cash cost day hl info pounds reply send txt win,,en,,,
balanced_spam_dataset_row_12,000 100 claim free membership net pobox prize txt urgent week won word www,000 100 claim free membership net pobox prize txt urgent week won word www,,en,,,
balanced_spam_dataset_row_13,help promise right searching thank times ve wonderful wont words,help promise right searching thank times ve wonderful wont words,,en,,,
balanced_spam_dataset_row_14,date sunday,date sunday,,en,,,
balanced_spam_dataset_row_15,click com credit http link message txt use wap,click com credit http link message txt use wap,,en,,,
balanced_spam_dataset_row_16,oh watching,oh watching,,en,,,
balanced_spam_dataset_row_17,did eh make naughty remember wet yes,did eh make naughty remember wet yes,,en,,,
balanced_spam_dataset_row_18,feel fine way,feel fine way,,en,,,
balanced_spam_dataset_row_19,16 20 87077 dont england miss national news team try txt ur,16 20 87077 dont england miss national news team try txt ur,,en,,,
balanced_spam_dataset_row_20,seriously,seriously,,en,,,
balanced_spam_dataset_row_21,going ha joking months try,going ha joking months try,,en,,,
balanced_spam_dataset_row_22,comin da lar pay stock,comin da lar pay stock,,en,,,
balanced_spam_dataset_row_23,aft ard finish lor lunch smth str ur,aft ard finish lor lunch smth str ur,,en,,,
balanced_spam_dataset_row_24,alright meet sooner way,alright meet sooner way,,en,,,
balanced_spam_dataset_row_25,eat getting hungry just knows lol mark pizza really sick sucks tho turn worried,eat getting hungry just knows lol mark pizza really sick sucks tho turn worried,,en,,,
balanced_spam_dataset_row_26,lol,lol,,en,,,
balanced_spam_dataset_row_27,bus catch did dinner eating egg feel left love make mom tea,bus catch did dinner eating egg feel left love make mom tea,,en,,,
balanced_spam_dataset_row_28,amp car know let ll room,amp car know let ll room,,en,,,
balanced_spam_dataset_row_29,does feel like lol remember work,does feel like lol remember work,,en,,,
balanced_spam_dataset_row_30,doesn live sure wait want,doesn live sure wait want,,en,,,
balanced_spam_dataset_row_31,cheers child doing got like till won yeah,cheers child doing got like till won yeah,,en,,,
balanced_spam_dataset_row_32,tell,tell,,en,,,
balanced_spam_dataset_row_33,did just quick,did just quick,,en,,,
balanced_spam_dataset_row_34,charged confirm mobile month reply replying ringtone subscription thanks uk yes,charged confirm mobile month reply replying ringtone subscription thanks uk yes,,en,,,
balanced_spam_dataset_row_35,2nd going home learn lesson look msg ok yup,2nd going home learn lesson look msg ok yup,,en,,,
balanced_spam_dataset_row_36,know let ll oops roommate,know let ll oops roommate,,en,,,
balanced_spam_dataset_row_37,car letter,car letter,,en,,,
balanced_spam_dataset_row_38,decide lor,decide lor,,en,,,
balanced_spam_dataset_row_39,decided did hello just saturday texting tomo trying,decided did hello just saturday texting tomo trying,,en,,,
balanced_spam_dataset_row_40,abiola ahead great just pls sure wanted weekend,abiola ahead great just pls sure wanted weekend,,en,,,
balanced_spam_dataset_row_41,crave did forget love need sweet tell want,crave did forget love need sweet tell want,,en,,,
balanced_spam_dataset_row_42,08000930705 camcorder delivery free mobile msg nokia reply sms tomorrow tried,08000930705 camcorder delivery free mobile msg nokia reply sms tomorrow tried,,en,,,
balanced_spam_dataset_row_43,seeing,seeing,,en,,,
balanced_spam_dataset_row_44,great gt hope inches like lt man,great gt hope inches like lt man,,en,,,
balanced_spam_dataset_row_45,calls messages missed,calls messages missed,,en,,,
balanced_spam_dataset_row_46,didn nigeria,didn nigeria,,en,,,
balanced_spam_dataset_row_47,going,going,,en,,,
balanced_spam_dataset_row_48,ask bit hopefully maybe tyler yeah,ask bit hopefully maybe tyler yeah,,en,,,
balanced_spam_dataset_row_49,didn don hospital kept know mark telling want weak,didn don hospital kept know mark telling want weak,,en,,,
balanced_spam_dataset_row_50,class saw time,class saw time,,en,,,
balanced_spam_dataset_row_51,gets gt half like lt second usually,gets gt half like lt second usually,,en,,,
balanced_spam_dataset_row_52,early fyi morning place ride tomorrow tonight,early fyi morning place ride tomorrow tonight,,en,,,
balanced_spam_dataset_row_53,best didn doing don embarassed happy liked room sorry thought wow,best didn doing don embarassed happy liked room sorry thought wow,,en,,,
balanced_spam_dataset_row_54,ac correct end ice new play red reply sms,ac correct end ice new play red reply sms,,en,,,
balanced_spam_dataset_row_55,did gt know lt url yesterday,did gt know lt url yesterday,,en,,,
balanced_spam_dataset_row_56,150pm 5we bx420 cinema congrats dont free ip4 miss pass special year,150pm 5we bx420 cinema congrats dont free ip4 miss pass special year,,en,,,
balanced_spam_dataset_row_57,later ll meeting sorry,later ll meeting sorry,,en,,,
balanced_spam_dataset_row_58,reached tell,reached tell,,en,,,
balanced_spam_dataset_row_59,series yes,series yes,,en,,,
balanced_spam_dataset_row_60,gonna home pain pick way,gonna home pain pick way,,en,,,
balanced_spam_dataset_row_61,girls good ha joke situation,girls good ha joke situation,,en,,,
balanced_spam_dataset_row_62,checking iq,checking iq,,en,,,
balanced_spam_dataset_row_63,come forever ok sorry took,come forever ok sorry took,,en,,,
balanced_spam_dataset_row_64,check cut da double hair lar look nice ok said short wif wun,check cut da double hair lar look nice ok said short wif wun,,en,,,
balanced_spam_dataset_row_65,awarded bonus customer following mob pleased prize review valued,awarded bonus customer following mob pleased prize review valued,,en,,,
balanced_spam_dataset_row_66,day frnds rply send song today ur,day frnds rply send song today ur,,en,,,
balanced_spam_dataset_row_67,10 1000 18 50 87121 awarded claim complimentary dis trip txt ur urgent,10 1000 18 50 87121 awarded claim complimentary dis trip txt ur urgent,,en,,,
