original_index,sms_text,is_phishing_original,is_phishing_llama_bool,is_phishing_llama_raw,raw_response
46857,0870 08707509020 1327 20p 5wb box chance cr9 croydon fantasies fantasy hot just live min national ntt po rate,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
53374,बैंक से आपको एक बड़ा फंड ट्रांसफर हुआ है! चेक करने के लिए इस लिंक पर क्लिक करें: www.bankupdate.com,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
46363,16 1st 87131 free help join poly real reply ringtone stop text tone tones true txt wk,True,False,False,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
46934,00 03 05 5000 calling careful claim details draw enter hi mobile personal prize receive tells ur,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
50109,আপনার ড্রাইভিং লাইসেন্স আপডেট করতে কল করুন +8801815566778,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
53587,ओमेक्स फ़ॉरेस्ट-सूरजकुंड अल्ट्रा लक्ज़री अपार्टमेंट-2520 वर्गफुट से बीएसपी @5500 रुपये/वर्ग। केवल फीट 114 फ्लैट। लाइसेंस प्राप्त। कृपया राजेश को कॉल करें 09810238760,True,False,False,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
53587,ओमेक्स फ़ॉरेस्ट-सूरजकुंड अल्ट्रा लक्ज़री अपार्टमेंट-2520 वर्गफुट से बीएसपी @5500 रुपये/वर्ग। केवल फीट 114 फ्लैट। लाइसेंस प्राप्त। कृपया राजेश को कॉल करें 09810238760,True,False,False,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
54449,आपके आधार कार्ड में समस्या है। अपडेट करें: https://aadharhelp.net/nKJ98Lm4 -AadharFix।,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
46654,100 150ppm 16 500 5000 await box cash collection cost cs drop holiday landline mobile ntt po sae shop till travel urgent vary voucher,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
47575,100 4u 500 87066 awarded cd cds com1win150ppmx3age16 congratulations draw entry free gift guaranteed ldew music tncs txt ur vouchers wkly www,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]"
