label,text
smish,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। জরুরি ভিত্তিতে কল করুন: +8801812345678
normal,আপনার দিন কেমন কাটছে?
promo,"৪৫৳ ক্যাশব্যাক! ৪৬জিবি @ ৪৫৩৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/4wQzxdl1"
normal,"হ্যালো, কি খবর?"
smish,জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801816566678
smish,আপনার ডেবিট কার্ডের পিন রিসেট করতে কল করুন +8801919900012
smish,ক্যাসিনোতে বাজি ধরুন এবং একটি নতুন স্মার্টফোন জেতার সুযোগ পান! যোগ দিন: ebayisapidlld.altervista.org/
promo,"ইন্টারনেটিংয়ে পকেট সেভিং, নাও ১০জিবি@৳১৫৮, ৭দিন: cutt.ly/FwUC6vh"
normal,০১৮২৭৩৮২৮৭৩ নাম্বারে বিকাশ করুন।
normal,আমি বাড়ির ছোট ভাইয়ের সাথে খুব ভালো বন্ধু।
smish,"আকর্ষণীয় চাকরি ও পড়াশোনা, মাসিক বেতন ২ লক্ষ+ এবং দক্ষিণ কোরিয়ায় স্থায়ী বসবাসের সুযোগ।
বিনামূল্যে টিউশন ও থাকার ব্যবস্থা।
যোগাযোগ করুন:
01720557103
01720557120
01321200716
01550402100"
smish,"Job offar....বাড়িতে বসে রোজ ৬০০/৭০০ আর মাসে ১২০০০/২০০০০ টাকা আয় করতে পারবেন । কাজের সকল প্রমাণ দেওয়া হবে, কেউ করতে চাইলে আমাকে মেসেজ করুন।
আমাদের group এ কিছু মেম্বার নেওয়া হবে"
normal,কী খাবে? মাছের কারি। তুমি কি পছন্দ করো?
smish,মাশরাফির সাথে একদিন কাটানোর সুযোগ পেতে ক্যাসিনোতে বাজি ধরুন। যোগ দিন: xini.eu/00Qe
promo,"প্রো-লেভেল ৳১০০ ক্যাশব্যাকে ৩৫জিবি+৫০০মি.@৳৩৯৯,৩০দিন cutt.ly/2wQlYv6U"
promo,"৳১০০ ক্যাশব্যাকে প্রোলেভেল ডিল-১০০জিবি@৳৬৯৮,৩০দিন cutt.ly/AwQzYxAf"
promo,বোনাস সহ ২জিবি-৩৫টাকা-৭দিন। ডায়াল *১২১*৫০৩৭# বা mygp.li/mo
normal,বিকেলে আমি বাসায় ফিরছি।
promo,"জানুয়ারী-২৪
রিচার্জ:0৳
খরচ:
ডেটা:0৳
ভয়েস:23৳
অন্যান্য:1৳"
normal,"হাই, কি তুমি?"
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
smish,কৃষকদের জন্য সরকার দিচ্ছে পঞ্চাশ হাজার টাকা পর্যন্ত ভর্তুকি। ভর্তুকি পেতে এখনই যোগাযোগ করুন ০১৫৩৮২৭২৭৩৪
smish,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে :01317235293
normal,কঠোর পরিশ্রমই সাফল্যের চাবিকাঠি।
normal,আসসালামুয়ালাইকুম।
promo,"বাড়ির ডেকোর আইটেমে ২০% ছাড়। স্টক সীমিত, দেরি করবেন না।"
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি.,৩০দিন: cutt.ly/2wQlYv6U"
normal,বৃষ্টি না থাকলে খুব গরম হয়।
normal,"তুমি একা নও, আমি আছি।"
promo,থ্যালাসেমিয়া রোগ  থেকে বাঁচতে বিয়ের আগে রক্ত পরীক্ষা করিয়ে নিন । রোগী ও বাহক কিংবা বাহকে বাহকে বিয়ে নয়-বাংলাদেশ থ্যালাসেমিয়া সমিতি।
promo,"“দুস্থ ও মানবতায় সেবায় আঞ্জুমান মুফিদুল ইসলামকে আপনার যাকাত ও সাদাকা দান করুন।
বিকাশ ও নগদ ০১৩১৮২৪২৯৯৯ রকেটবিলার-২৯৪৬
শাহজালাল ব্যাংক ৪০১৮১২১০০০০২৪০৯ (যাকাত) এবং ৪০১৮১৩১০০০০০২৭৬ (সাদাকা)"
smish,"যারা ফ্রিতে ইনকাম করতে চান শুধু তারা আমাদের টেলিগ্রাম লিংক এ ডুকে কাজ শুরু করে দেন
https://t.me/Referincomebd4536_bot?start=r02800826975"
promo,"আজই শেষ দিন!৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
normal,তুমি কি বাসে যাচ্ছো?
normal,আপনার প্রোফাইল আপডেট করা হয়েছে। কোন সমস্যা হলে এই নাম্বারে ০১৭৮৯৭৬৫৪৩২১ কল করুন।
promo,"৮০মিনিট মাত্র ৫৯টাকা (৫দিন), নিতে ডায়াল করুন *১২১*৪২০৫#"
normal,"ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।"
promo,"আড্ডা+ইন্টারনেটিংয়ে নতুন ডিল ১০জিবি+২৫০মি@২৫৮৳,৩০দিন cutt.ly/wwCctHGF"
smish,সপ্তাহে 5100 টাকা ইনকাম করতে পারবেন।বাড়িতে বসে ছাত্রী/গৃহিনীদের কাজের ব্যাবস্থা করা হয়েছে।কাজ করতে  চাইলে hi পাঠান।
smish,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন
promo,আজকের স্পেশাল: সব বইয়ে ১৫% ছাড়। দেরি না করে এখনই অর্ডার করুন।
normal,তোমাদের দিন কেমন কাটছে?
smish,"৩,২০০ টাকা বিনিয়োগে দ্বিগুণ লাভ! কল করুন: +8801915566778"
smish,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801812122134
smish,আপনার ক্রেডিট কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [securecreditcard.com/UpdateBD]
normal,"হ্যাঁ, আমাদের সময় লাগছিল"
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
promo,"৮জিবি(বোনাসসহ) ১২৩টাকা ১৫দিন।ডায়াল *১২১*৫৫৪৮#, mygp.li/mo"
promo,"হ্যাপি নিউ ইয়ার - ২০২৪
স্মার্ট ব্যাংকিং সেবায় সোনালী ব্যাংক
সর্বদাই আপনার পাশে
মোঃ আফজাল করিম
সিইও এন্ড এমডি"
normal,"আপনার পেমেন্ট বাকি ৮০০/- টাকা, দ্রুত পরিশোধ করুন।"
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
smish,ইউরোপীয় চ্যাম্পিয়নশিপে বাজি ধরুন এবং একটি বিলাসবহুল হোটেল বুকিং জিতুন। ক্লিক করুন: super1000.info/docs
normal,তোমার প্রিয় বই কোনটি? সাইকেলোপেডিয়া। তুমি?
normal,এই যা আমি একটি সমাধান দেওয়া হয় যে সমাধান দিতে হবে।
smish,"প্রিয় দেশবাসি ! (COVID-19)
করনা ভাইরাস এর জন্য
2,500 টাকা সরকারী
শুনুদান দেওয়া হবে।
টাকা নেওয়ার জন্য নিচের নাম্বারে যোগাযোগ করুনঃ-01810559231"
promo,শুধু আজকে ৳১০০ ক্যাশব্যাক! ৫০জিবি @৳৩৯৮ ৩০দিন: cutt.ly/hwltB5hC
smish,"Assalamualikum! 

Apni Ki Barite Boshe Kono Taka Investment Na Kore Taka Income Korte Can? 
Tahole Amader Bot E Kaj korun.  Amader Bot E Apni Kono Investment Chara Income Korte Parben 

Bot Link :- https://t.me/free_online_income_24bot"
normal,বিদ্যুতের চালার প্রয়োগ করা হয়।
smish,আপনার ক্রেডিট কার্ড অ্যাকাউন্ট আপডেট করুন। দয়া করে এখানে ক্লিক করুন: http://bit.ly/CardUpdate
normal,শুভ নববর্ষের অভিনন্দন!
promo,"বাড়ির ডেকোর আইটেমে ২০% ছাড়। স্টক সীমিত, দেরি করবেন না।"
normal,কঠোর পরিশ্রমই সাফল্যের পথ।
normal,"সব ঠিক হয়ে যাবে, সাহস রেখো।"
normal,"তুমি অনেক শক্তিশালী, সাহস রেখো।"
normal,০১৯২৭২৮২৮৯৩ এই নাম্বারে দ্রুত টাকা পাঠাও।
smish,আপনার ক্রেডিট কার্ডের বিল পেমেন্ট মিস হয়েছে। এখানে ক্লিক করে পেমেন্ট করুন: http://bit.ly/PayBill
smish,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন
smish,"প্রিয় গ্রাহক আপনার
বিদ্যুৎ সংযোগ বিচ্ছিন্ন করা হবে
আজ রাত ১০.৩০ মিনিটে
থেকে
বিদ্যুৎ অফিস।
কারণ আপনার
আগের মাসের বিল ছিল না
আপডেট অবিলম্বে দয়া করে
আমাদের সাথে যোগাযোগ করুন
বিদ্যুৎ কর্মকর্তা
9163657962 ধন্যবাদ"
normal,তুমি কেমন আছো? আমি ভালো আছি। তুমি কেমন আছো?
smish,"প্রিয় গ্রাহক, আপনার কার্ডের তথ্য আপডেট করতে হবে। দয়া করে দ্রুত নিচের নম্বরে কল করুন এবং আপনার পিন নাম্বারটি বলুন। যোগাযোগের নম্বর: ০১৩৪৫৬৭৮৯৫৬"
normal,শুভ লক্ষ্মী পূজা!
promo,"শেখ হাসিনা সরকারের সাফল্য: 
কৃষকবান্ধব সরকার সারের মূল্য কমিয়ে টিএসপি ৮০ টাকা থেকে ২৭ টাকা, ডিএপি ৯০ টাকা থেকে ২১ টাকা এবং এমওপি ৭০ টাকা থেকে ২০ টাকা করা হয়।"
smish,অভিনন্দন! সরকারী স্বাস্থ্য ক্যাম্পেইনের অংশ হিসেবে আপনাকে বিনামূল্যে স্বাস্থ্য পরীক্ষার জন্য নির্বাচিত করা হয়েছে। আজই নিকটবর্তী স্বাস্থ্যকেন্দ্রে যোগাযোগ করুন এবং আবেদন করার জন্য নিচের লিঙ্কে ক্লিক করুন।
normal,ঈদের পরিবর্তে শুভ নববর্ষ!
normal,কেমন চলছে তোমার দিন?
normal,আপনি কি করতে পারেন?
smish,"আয় করুন 
https://midgerelativelyhoax.com/wukj2e6w?key=c365cd811b55b1d2a541dfadf1d4f7de"
normal,তুমি এখন কোথায়?
